Account Desc,Source Branch,Source Entity,Account Number,Source Account #,Branch Description,Source Description,Source Product Line,Product Line Description
Material COGS,2,Etairos,50100,5080,Jackson,Inter-Co Cost Sales Parts Ms,3,Parts
Material COGS,2,Etairos,50100,5080,Jackson,Intra-Co Cost Sales Parts Ms,3,Parts
Material COGS,1,Etairos,50100,5080,Memphis,Inter-Co Cost Sales Ad Memph,4,General/HQ
Commissions Expense,1,Etairos,61499,5085,Memphis,Salary Sales Eng Mph,1,Equipment
Commissions Expense,2,Etairos,61499,5085,Jackson,Salaries Sales Eng Ms,1,Equipment
Commissions Expense,3,Etairos,61499,5085,Arkansas,Salary Sales Eng Ar,1,Equipment
Advertising,1,Etairos,61500,5090,Memphis,Adv/Mrkt/Promo-Equip Memphis,1,Equipment
Advertising,2,Etairos,61500,5090,Jackson,Adv/Mrkt/Promo-Equip Ms,1,Equipment
Advertising,3,Etairos,61500,5090,Arkansas,Advertising Ar,1,Equipment
Advertising,1,Etairos,61500,5090,Memphis,Adv/Mrkt/Promo-Svc Memphis,2,Service
Advertising,2,Etairos,61500,5090,Jackson,Adv/Mrkt/Promo-Svc Ms,2,Service
Advertising,1,Etairos,61500,5090,Memphis,Adv/Mrkt/Promo-Parts Memphis,3,Parts
Advertising,2,Etairos,61500,5090,Jackson,Adv/Mrkt/Promo-Parts Ms,3,Parts
Advertising,1,Etairos,61500,5090,Memphis,Adv/Mrkt/Promo-Ad,4,General/HQ
Auto Expenses,1,Etairos,61600,5100,Memphis,Auto Equip Memphis,1,Equipment
Auto Expenses,2,Etairos,61600,5100,Jackson,Auto Equip Miss,1,Equipment
Auto Expenses,3,Etairos,61600,5100,Arkansas,Auto Equip Ar,1,Equipment
Auto Expenses,1,Etairos,61600,5100,Memphis,Auto Svc Memphis,2,Service
Auto Expenses,2,Etairos,61600,5100,Jackson,Auto Jackson Svc,2,Service
Auto Expenses,1,Etairos,61600,5100,Memphis,Auto Parts Memphis,3,Parts
Auto Expenses,2,Etairos,61600,5100,Jackson,Auto: Parts Ms,3,Parts
Auto Expenses,1,Etairos,61600,5100,Memphis,Auto Ad Memphis,4,General/HQ
Commissions Expense,1,Etairos,61499,5105,Memphis,Sales Commissions Memphis,1,Equipment
Commissions Expense,2,Etairos,61499,5105,Jackson,Sales Commissions Jackson,1,Equipment
Commissions Expense,1,Etairos,61499,5105,Memphis,Commissions Whlsale Mem,3,Parts
Commissions Expense,2,Etairos,61499,5105,Jackson,Commissions Whlsale Jx,3,Parts
Maintenance Expense,1,Etairos,65000,5120,Memphis,Building Maintenance Equip Mph,1,Equipment
Maintenance Expense,1,Etairos,65000,5120,Memphis,Building Maintenance Svc Mph,2,Service
Maintenance Expense,1,Etairos,65000,5120,Memphis,Building Maintenance Whsle Mph,3,Parts
Cost of Goods Sold : Labor,1,Etairos,50101,5130,Memphis,Cost Of Svc Labor Memphis,2,Service
Cost of Goods Sold : Labor,2,Etairos,50101,5130,Jackson,Cost Of Svc Labor Ms,2,Service
401K,1,Etairos,61340,5150,Memphis,Contributions Eqp Memphis,1,Equipment
401K,2,Etairos,61340,5150,Jackson,Contributions Eqp Ms,1,Equipment
401K,3,Etairos,61340,5150,Arkansas,Contributions Ar,1,Equipment
401K,1,Etairos,61340,5150,Memphis,Contributions Service,2,Service
401K,1,Etairos,61340,5150,Memphis,Contributions Parts Memphis,3,Parts
401K,2,Etairos,61340,5150,Jackson,Contributions Parts Ms,3,Parts
Material COGS,0,Etairos,50100,5160,Headquarters,A/P Clearing,0,Equipment
Material COGS,1,Etairos,50100,5160,Memphis,Dnu A/P Clearing,0,Equipment
Purchase Discounts,0,Etairos,57600,5180,Headquarters,Discount On Sales,0,Equipment
Dues & Subscriptions,1,Etairos,62100,5200,Memphis,Dues And Subscriptions Eqp Mem,1,Equipment
Dues & Subscriptions,2,Etairos,62100,5200,Jackson,Dues And Subscriptions Eqp Ms,1,Equipment
Dues & Subscriptions,3,Etairos,62100,5200,Arkansas,Dues & Subscriptions Ar,1,Equipment
Dues & Subscriptions,1,Etairos,62100,5200,Memphis,Dues And Subscriptions Svc Mem,2,Service
Dues & Subscriptions,2,Etairos,62100,5200,Jackson,Dues And Subscriptions Svc Jx,2,Service
Dues & Subscriptions,1,Etairos,62100,5200,Memphis,Dues And Subscrip Parts Memphi,3,Parts
Dues & Subscriptions,2,Etairos,62100,5200,Jackson,Dues & Subscriptions Parts Ms,3,Parts
Entertainment Expense,1,Etairos,64050,5250,Memphis,Entertainment Equip Memphis,1,Equipment
Entertainment Expense,2,Etairos,64050,5250,Jackson,Entertainment Eqp Ms,1,Equipment
Entertainment Expense,3,Etairos,64050,5250,Arkansas,Entertainment - Ar,1,Equipment
Entertainment Expense,1,Etairos,64050,5250,Memphis,Entertainment Svc Memphis,2,Service
Entertainment Expense,2,Etairos,64050,5250,Jackson,Entertainment Svc Ms,2,Service
Entertainment Expense,1,Etairos,64050,5250,Memphis,Entertainment Parts Memphis,3,Parts
Entertainment Expense,2,Etairos,64050,5250,Jackson,Entertainment Parts Ms,3,Parts
Entertainment Expense,1,Etairos,64050,5250,Memphis,Entertainment Ad Memphis,4,General/HQ
Meals,1,Etairos,64040,5251,Memphis,Business Meals Equip Mph 100%,1,Equipment
Meals,2,Etairos,64040,5251,Jackson,Business Meals Equip Ms 100%,1,Equipment
Meals,3,Etairos,64040,5251,Arkansas,Business Meals Equip Ar 100%,1,Equipment
Meals,1,Etairos,64040,5251,Memphis,Business Meals Svc Mph 100%,2,Service
Meals,2,Etairos,64040,5251,Jackson,Business Meals Svc Ms,2,Service
Meals,1,Etairos,64040,5251,Memphis,Business Meals Parts Mph 100%,3,Parts
Meals,2,Etairos,64040,5251,Jackson,Business Meals Parts Ms 100%,3,Parts
Meals,1,Etairos,64040,5251,Memphis,Business Meals Ad,4,General/HQ
Meals,1,Etairos,64040,5255,Memphis,Business Meals Equip Mph,1,Equipment
Meals,2,Etairos,64040,5255,Jackson,Business Meals Equip Ms,1,Equipment
Meals,3,Etairos,64040,5255,Arkansas,Business Meals Ar,1,Equipment
Meals,1,Etairos,64040,5255,Memphis,Business Meals Svc Mph,2,Service
Meals,1,Etairos,64040,5255,Memphis,Business Meals Parts Mph,3,Parts
Meals,2,Etairos,64040,5255,Jackson,Business Meals Parts Ms,3,Parts
Health,1,Etairos,61310,5300,Memphis,Insurance - Med Equip Memphis,1,Equipment
Health,2,Etairos,61310,5300,Jackson,Insurance - Med Equip Ms,1,Equipment
Health,3,Etairos,61310,5300,Arkansas,Medical Ins Lr,1,Equipment
Health,1,Etairos,61310,5300,Memphis,Insurance - Med Svc Memphis,2,Service
Health,2,Etairos,61310,5300,Jackson,Insurance - Med Svc Ms,2,Service
Health,1,Etairos,61310,5300,Memphis,Insurance - Medical Parts Mphs,3,Parts
Health,2,Etairos,61310,5300,Jackson,Insurance - Medical Parts Jx,3,Parts
Health,1,Etairos,61310,5300,Memphis,Insurance - Medical Ad Mphs,4,General/HQ
Health,1,Etairos,61310,5300,Memphis,Ins Deductions Headquarters,5,General/HQ
Life,1,Etairos,61350,5350,Memphis,Insurance - Officers Life,1,Equipment
Benefits,1,Etairos,61300,5400,Memphis,Insurance - Other Eqp Mphs,1,Equipment
Benefits,2,Etairos,61300,5400,Jackson,Insurance - Other Eqp Ms,1,Equipment
Benefits,3,Etairos,61300,5400,Arkansas,Insurance - Other Ar,1,Equipment
Benefits,1,Etairos,61300,5400,Memphis,Insurance - Other Svc Mphs,2,Service
Benefits,2,Etairos,61300,5400,Jackson,Insurance - Other Svc Jx,2,Service
Benefits,1,Etairos,61300,5400,Memphis,Insurance - Other Pts Mphs,3,Parts
Benefits,2,Etairos,61300,5400,Jackson,Insurance - Other Parts Jx,3,Parts
Benefits,1,Etairos,61300,5400,Memphis,Insurance - Other Ad,4,General/HQ
Benefits,1,Etairos,61300,5425,Memphis,Ins Hsa Etairos,1,Equipment
Benefits,1,Etairos,61300,5425,Memphis,Ins Hsa/Fsa Etairos,1,Equipment
Benefits,2,Etairos,61300,5425,Jackson,Ins Hsa Etairos Jx Equip,1,Equipment
Benefits,2,Etairos,61300,5425,Jackson,Ins Hsa/Fsa Jx Equip,1,Equipment
Benefits,3,Etairos,61300,5425,Arkansas,Ins Hsa Etairos,1,Equipment
Benefits,1,Etairos,61300,5425,Memphis,Ins Hsa Etairos,2,Service
Benefits,1,Etairos,61300,5425,Memphis,Ins Hsa/Fsa Service,2,Service
Benefits,1,Etairos,61300,5425,Memphis,Ins Hsa Etairos,3,Parts
Benefits,1,Etairos,61300,5425,Memphis,Ins Hsa/Fsa Wholesale Mem,3,Parts
Benefits,2,Etairos,61300,5425,Jackson,Hsa /Fsa Wholesale Jx,3,Parts
Benefits,2,Etairos,61300,5425,Jackson,Hsa Etairos Jx Parts,3,Parts
Interest Expense,1,Etairos,98000,5450,Memphis,Interest Expense Eqp Mphs,1,Equipment
Interest Expense,2,Etairos,98000,5450,Jackson,Interest Expense Eqp Ms,1,Equipment
Interest Expense,1,Etairos,98000,5450,Memphis,Interest Expense Svc Mphs,2,Service
Interest Expense,2,Etairos,98000,5450,Jackson,Interest Expense Svc Ms,2,Service
Interest Expense,1,Etairos,98000,5450,Memphis,Interest Expense Parts Mphs,3,Parts
Interest Expense,2,Etairos,98000,5450,Jackson,Interest Expense Parts Ms,3,Parts
Uniforms,1,Etairos,63090,5540,Memphis,Uniforms-Service Mph,2,Service
Uniforms,2,Etairos,63090,5540,Jackson,Uniforms-Service Ms,2,Service
Uniforms,1,Etairos,63090,5540,Memphis,Unifomrs-Parts Mph,3,Parts
Cleaning,1,Etairos,63010,5550,Memphis,Janitorial Expense Eqp Mphs,1,Equipment
Cleaning,2,Etairos,63010,5550,Jackson,Janitorial Expense Eqp Ms,1,Equipment
Cleaning,1,Etairos,63010,5550,Memphis,Janitorial Expense Svc Mphs,2,Service
Cleaning,1,Etairos,63010,5550,Memphis,Janitorial Expense Parts Mphs,3,Parts
Cleaning,2,Etairos,63010,5550,Jackson,Janitorial Expense Parts Ms,3,Parts
Cleaning,1,Etairos,63010,5560,Memphis,Waste Removal Eqp Mphs,1,Equipment
Cleaning,2,Etairos,63010,5560,Jackson,Waste Removal Eqp Ms,1,Equipment
Cleaning,1,Etairos,63010,5560,Memphis,Waste Removal Svc Mphs,2,Service
Cleaning,2,Etairos,63010,5560,Jackson,Waste Removal Svc Ms,2,Service
Cleaning,1,Etairos,63010,5560,Memphis,Waste Removal Part Mphs,3,Parts
Cleaning,2,Etairos,63010,5560,Jackson,Waste Removal Parts Ms,3,Parts
Legal,1,Etairos,74100,5600,Memphis,Legal And Accounting Eq Mphs,1,Equipment
Legal,2,Etairos,74100,5600,Jackson,Legal And Accounting Equip Ms,1,Equipment
Legal,3,Etairos,74100,5600,Arkansas,Legal And Accounting Ar,1,Equipment
Legal,1,Etairos,74100,5600,Memphis,Legal And Accounting Svc Mphs,2,Service
Legal,2,Etairos,74100,5600,Jackson,Legal And Accounting Svc Ms,2,Service
Legal,1,Etairos,74100,5600,Memphis,Legal And Accounting Parts Mph,3,Parts
Legal,2,Etairos,74100,5600,Jackson,Legal And Accounting Parts Ms,3,Parts
Legal,1,Etairos,74100,5600,Memphis,Legal And Accounting Ad Mphs,4,General/HQ
Business License,0,Etairos,75300,5610,Headquarters,Licensing,0,Equipment
Business License,1,Etairos,75300,5610,Memphis,Licensing Equipment Memphis,1,Equipment
Business License,2,Etairos,75300,5610,Jackson,Licensing Equip Jackson,1,Equipment
Business License,3,Etairos,75300,5610,Arkansas,Licensing Parts Little Rock,1,Equipment
Business License,1,Etairos,75300,5610,Memphis,Licensing Serv. Memphis,2,Service
Business License,2,Etairos,75300,5610,Jackson,Licensing Parts Jackson,3,Parts
Equipment Rent,1,Etairos,62025,5660,Memphis,Machine Rent Eqp Mphs,1,Equipment
Equipment Rent,3,Etairos,62025,5660,Arkansas,Machine Rent Lr,1,Equipment
Equipment Rent,1,Etairos,62025,5660,Memphis,Machine Rent Svc Mphs,2,Service
Equipment Rent,1,Etairos,62025,5660,Memphis,Machine Rent Parts Mphs,3,Parts
Equipment Rent,2,Etairos,62025,5660,Jackson,Machine Rent Parts Ms,3,Parts
Misc Expenses,1,Etairos,76000,5800,Memphis,Territory Credits Parts Mphs,3,Parts
Office Expense,1,Etairos,63000,5850,Memphis,Office Expense Eqp Mphs,1,Equipment
Office Expense,2,Etairos,63000,5850,Jackson,Office Expense: Eqp Ms,1,Equipment
Office Expense,3,Etairos,63000,5850,Arkansas,Office Expense - Ar,1,Equipment
Office Expense,1,Etairos,63000,5850,Memphis,Office Expense Svc Mphs,2,Service
Office Expense,2,Etairos,63000,5850,Jackson,Office Expense Svc Ms,2,Service
Office Expense,1,Etairos,63000,5850,Memphis,Office Expense Parts Mphs,3,Parts
Office Expense,2,Etairos,63000,5850,Jackson,Office Expense Parts Ms,3,Parts
Office Expense,1,Etairos,63000,5850,Memphis,Office Expense: Ad Mphs,4,General/HQ
Computer Expense,1,Etairos,63150,5860,Memphis,Computer Expense Eqp Mphs,1,Equipment
Computer Expense,2,Etairos,63150,5860,Jackson,Computer Expense Eqp Ms,1,Equipment
Computer Expense,3,Etairos,63150,5860,Arkansas,Computer Expense Ar,1,Equipment
Computer Expense,1,Etairos,63150,5860,Memphis,Computer Expense Svc Mphs,2,Service
Computer Expense,2,Etairos,63150,5860,Jackson,Computer Expense Svc Ms,2,Service
Computer Expense,1,Etairos,63150,5860,Memphis,Computer Expense Parts Mphs,3,Parts
Computer Expense,2,Etairos,63150,5860,Jackson,Computer Expense Parts Ms,3,Parts
Computer Expense,1,Etairos,63150,5860,Memphis,Computer Expense Ad,4,General/HQ
Fees - Payroll,1,Etairos,69110,5880,Memphis,Adp Admin Fees Eqp Mphs,1,Equipment
Fees - Payroll,2,Etairos,69110,5880,Jackson,Adp Admin Fees,1,Equipment
Fees - Payroll,3,Etairos,69110,5880,Arkansas,Adp Admin Fees,1,Equipment
Fees - Payroll,1,Etairos,69110,5880,Memphis,Adp Admin Fees,2,Service
Fees - Payroll,2,Etairos,69110,5880,Jackson,Dnu Adp Admin Fees,2,Service
Fees - Payroll,1,Etairos,69110,5880,Memphis,Adp Admin Fees,3,Parts
Fees - Payroll,2,Etairos,69110,5880,Jackson,Adp Admin Fees,3,Parts
Salaries,1,Etairos,61110,5900,Memphis,Salaries Mgmt/Prin Equip Mem,1,Equipment
Salaries,2,Etairos,61110,5900,Jackson,Salaries Mgmt/Prin Equip Jx,1,Equipment
Salaries,3,Etairos,61110,5900,Arkansas,Salaries Mgmt/Pric Equip Ar,1,Equipment
Salaries,1,Etairos,61110,5900,Memphis,Salaries Mgmt/Prin Serv Mem,2,Service
Salaries,1,Etairos,61110,5900,Memphis,Salaries Mgmt/Prin Wholesale M,3,Parts
Salaries,2,Etairos,61110,5900,Jackson,Salaries Mgmt/Prin Parts Jx,3,Parts
Salaries,1,Etairos,61110,5900,Memphis,Salaries Headquarters,5,General/HQ
Misc Expenses,1,Etairos,76000,5901,Memphis,Relocation Reimburse Equip Mem,1,Equipment
Salaries,0,Etairos,61110,5920,Headquarters,Management Fees Gsi,0,Equipment
Salaries,3,Etairos,61110,5920,Arkansas,Mgt Fees Equip Arkansas,1,Equipment
Salaries,1,Etairos,61110,5920,Memphis,Mgt Fees Service Field Memphis,2,Service
Salaries,2,Etairos,61110,5920,Jackson,Mgt Fees Service Jackson,2,Service
Salaries,1,Etairos,61110,5920,Memphis,Mgt Fees Parts Memphis,3,Parts
Salaries,2,Etairos,61110,5920,Jackson,Mgt Fees Parts Jackson,3,Parts
Salaries,1,Etairos,61110,5920,Memphis,Mgt Fees Ad Mempis,4,General/HQ
Salaries,1,Etairos,61110,5921,Memphis,Mgt Fees Service Office Memphi,2,Service
Salaries,1,Etairos,61110,5923,Memphis,Mgt Fees Mgmt/Prin Equip Mem,1,Equipment
Salaries,2,Etairos,61110,5923,Jackson,Mgt Fees Mgmt/Prin Eqp Ms,1,Equipment
Salaries,3,Etairos,61110,5923,Arkansas,Mgt Fees Mgmt/Prin Eqp Ar,1,Equipment
Salaries,1,Etairos,61110,5923,Memphis,Mgt Fees Mgmt/Prin Svc Mph,2,Service
Salaries,2,Etairos,61110,5923,Jackson,Mgt Fees Mgmt/Prin Svc Ms,2,Service
Salaries,1,Etairos,61110,5923,Memphis,Mgt Fees Mgmt/Prin Wholes Mph,3,Parts
Salaries,2,Etairos,61110,5923,Jackson,Mgt Fees Mgmt/Prin Parts Ms,3,Parts
Salaries,1,Etairos,61110,5923,Memphis,Mgt Fees Mgmt/Prin Ad Mph,4,General/HQ
Salaries,1,Etairos,61110,5925,Memphis,Mgt Fees A/M/Hr/It Equip Mem,1,Equipment
Salaries,2,Etairos,61110,5925,Jackson,Mgt Fees A/M/Hr/It Equip Jx,1,Equipment
Salaries,1,Etairos,61110,5925,Memphis,Mgt Fees A/M/Hr/It Serv Mem,2,Service
Salaries,2,Etairos,61110,5925,Jackson,Mgt Fees A/M/Hr/It Serv Jx,2,Service
Salaries,1,Etairos,61110,5925,Memphis,Mgt Fees A/M/Hr/It Wholes Mem,3,Parts
Salaries,2,Etairos,61110,5925,Jackson,Mgt Fees A/M/Hr/It Parts Jx,3,Parts
Salaries,1,Etairos,61110,5925,Memphis,Mgt Fees A/M/Hr/It Ad Mem,4,General/HQ
Salaries,1,Etairos,61110,5926,Memphis,Mgt Fees Inside Sales Memphis,1,Equipment
Salaries,2,Etairos,61110,5926,Jackson,Mgt Fees Inside Sales Jackson,1,Equipment
Salaries,0,Etairos,61110,5935,Headquarters,Management Fees Dts,0,Equipment
Salaries,1,Etairos,61110,5940,Memphis,Salaries Sales Engineers,1,Equipment
Salaries,2,Etairos,61110,5940,Jackson,Salary Sales Engineers Jackson,1,Equipment
Salaries,2,Etairos,61110,5940,Jackson,Salaries & Wages Parts Jackso,3,Parts
Salaries,3,Etairos,61110,5950,Arkansas,Salaries Equip Ar,1,Equipment
Salaries,1,Etairos,61110,5950,Memphis,Salaries Service Field,2,Service
Salaries,1,Etairos,61110,5950,Memphis,Salaries And Wages Parts,3,Parts
Salaries,1,Etairos,61110,5955,Memphis,Sal Acct/Mktg/Hr/It Equip Mem,1,Equipment
Salaries,2,Etairos,61110,5955,Jackson,Sal Acct/Mktg/Hr/It Equip Jx,1,Equipment
Salaries,3,Etairos,61110,5955,Arkansas,Sal Acct/Mktg/Hr/It Equip Ar,1,Equipment
Salaries,1,Etairos,61110,5955,Memphis,Sal Acct/Mktg/Hr/It Service M,2,Service
Salaries,1,Etairos,61110,5955,Memphis,Sal Acct/Mktg/Hr/Itwholesale M,3,Parts
Salaries,2,Etairos,61110,5955,Jackson,Sal Acct/Mktg/Hr/It Parts Jx,3,Parts
Salaries,1,Etairos,61110,5960,Memphis,Salaries Service Office,2,Service
Salaries,1,Etairos,61110,5970,Memphis,Salaries Inside Sales Memphis,1,Equipment
Salaries,2,Etairos,61110,5970,Jackson,Salaries Inside Sales Jackson,1,Equipment
Bonus,1,Etairos,61160,5975,Memphis,Salaries Bonus Eq Mem,1,Equipment
Bonus,2,Etairos,61160,5975,Jackson,Salaries Bonus Eq Jx,1,Equipment
Bonus,1,Etairos,61160,5975,Memphis,Salaries Bonus Service,2,Service
Bonus,1,Etairos,61160,5975,Memphis,Salaries Bonus Wh Mem,3,Parts
Bonus,2,Etairos,61160,5975,Jackson,Salaries Bonus Wh Jx,3,Parts
Bonus,1,Etairos,61160,5975,Memphis,Salaries Bonus Hq,5,General/HQ
QoE COGS Adjustment,0,Etairos,[null],59998Q,Headquarters,Qoe Cogs Adjustment,0,Equipment
Bonus,1,Etairos,61160,6000,Memphis,Pension And Profit Sharing,1,Equipment
Bonus,2,Etairos,61160,6000,Jackson,Pension And Profit Sharing,1,Equipment
Bonus,3,Etairos,61160,6000,Arkansas,Pension And Profit Sharing Ar,1,Equipment
Bonus,1,Etairos,61160,6000,Memphis,Pension And Profit Sharing,2,Service
Bonus,1,Etairos,61160,6000,Memphis,Pension And Profit Sharing,3,Parts
Bonus,2,Etairos,61160,6000,Jackson,Pension And Profit Sharing,3,Parts
Bonus,1,Etairos,61160,6000,Memphis,Pension And Profit Sharing,5,General/HQ
Penalties and Fines Exp,0,Etairos,67000,6020,Headquarters,Penalities,0,Equipment
Fees - Bank,1,Etairos,69100,6040,Memphis,Petty Cash,1,Equipment
Postage,1,Etairos,63050,6050,Memphis,Postage Equip Mph,1,Equipment
Postage,2,Etairos,63050,6050,Jackson,Postage Equip Ms,1,Equipment
Postage,3,Etairos,63050,6050,Arkansas,Postage-Ar,1,Equipment
Postage,1,Etairos,63050,6050,Memphis,Postage Service,2,Service
Postage,1,Etairos,63050,6050,Memphis,Postage Parts Mph,3,Parts
Postage,2,Etairos,63050,6050,Jackson,Postage Parts Ms,3,Parts
Building Rent,1,Etairos,62000,6100,Memphis,Rent,1,Equipment
Building Rent,2,Etairos,62000,6100,Jackson,Rent,1,Equipment
Building Rent,1,Etairos,62000,6100,Memphis,Rent,2,Service
Building Rent,2,Etairos,62000,6100,Jackson,Rent,2,Service
Building Rent,1,Etairos,62000,6100,Memphis,Rent,3,Parts
Building Rent,2,Etairos,62000,6100,Jackson,Rent,3,Parts
Auto Expenses,1,Etairos,61600,6150,Memphis,Truck Stock,2,Service
Auto Expenses,2,Etairos,61600,6150,Jackson,Truck Stock,2,Service
Supplies/Tools,1,Etairos,69300,6190,Memphis,Tools,1,Equipment
Supplies/Tools,2,Etairos,69300,6190,Jackson,Tools,1,Equipment
Supplies/Tools,1,Etairos,69300,6190,Memphis,Tools,2,Service
Supplies/Tools,2,Etairos,69300,6190,Jackson,Tools,2,Service
Supplies/Tools,1,Etairos,69300,6190,Memphis,Tools,3,Parts
Supplies/Tools,2,Etairos,69300,6190,Jackson,Tools,3,Parts
FUTA,1,Etairos,61420,6250,Memphis,Unemployment Taxes - Tdes/Futa,1,Equipment
FUTA,2,Etairos,61420,6250,Jackson,Unemployment Taxes - Tdes/Futa,1,Equipment
FUTA,3,Etairos,61420,6250,Arkansas,Unemployment Taxes - Tdes/Futa,1,Equipment
FUTA,1,Etairos,61420,6250,Memphis,Unemployment Taxes - Tdes/Futa,2,Service
FUTA,1,Etairos,61420,6250,Memphis,Unemployment Taxes - Tdes/Futa,3,Parts
FUTA,2,Etairos,61420,6250,Jackson,Unemployment Taxes - Tdes/Futa,3,Parts
FUTA,1,Etairos,61420,6250,Memphis,Unemployment Taxes - Tdes/Futa,4,General/HQ
FUTA,1,Etairos,61420,6250,Memphis,Futa/Suta,5,General/HQ
Supplies/Tools,3,Etairos,69300,6260,Arkansas,Storage Ar,3,Parts
FICA,1,Etairos,61410,6270,Memphis,Fica Taxes,1,Equipment
FICA,2,Etairos,61410,6270,Jackson,Fica Taxes,1,Equipment
FICA,3,Etairos,61410,6270,Arkansas,Fica Taxes Equip Ar,1,Equipment
FICA,1,Etairos,61410,6270,Memphis,Fica Taxes,2,Service
FICA,2,Etairos,61410,6270,Jackson,Fica Taxes,2,Service
FICA,1,Etairos,61410,6270,Memphis,Fica Taxes,3,Parts
FICA,2,Etairos,61410,6270,Jackson,Fica Taxes,3,Parts
FICA,1,Etairos,61410,6270,Memphis,Fica Taxes,4,General/HQ
FICA,1,Etairos,61410,6270,Memphis,Fica Taxes,5,General/HQ
Business License,1,Etairos,75300,6300,Memphis,Business Taxes,1,Equipment
Business License,2,Etairos,75300,6300,Jackson,Business Taxes,1,Equipment
Business License,3,Etairos,75300,6300,Arkansas,Business Tax,1,Equipment
Business License,1,Etairos,75300,6300,Memphis,Business Taxes Eqp Mphs,2,Service
Business License,1,Etairos,75300,6300,Memphis,Business Taxes Parts Mphs,3,Parts
Business License,2,Etairos,75300,6300,Jackson,Business Tax,3,Parts
Property Tax,1,Etairos,75100,6310,Memphis,Property Tax Equip Mph,1,Equipment
Property Tax,2,Etairos,75100,6310,Jackson,Property Tax Equip Ms,1,Equipment
Property Tax,3,Etairos,75100,6310,Arkansas,Property Tax Lr,1,Equipment
Property Tax,1,Etairos,75100,6310,Memphis,Property Tax Service Mph,2,Service
Property Tax,2,Etairos,75100,6310,Jackson,Property Tax Svc Ms,2,Service
Property Tax,1,Etairos,75100,6310,Memphis,Property Tax Parts Mph,3,Parts
Property Tax,2,Etairos,75100,6310,Jackson,Property Tax Parts Ms,3,Parts
Other Taxes,1,Etairos,75500,6320,Memphis,Taxes Other Equip Mph,1,Equipment
Other Taxes,2,Etairos,75500,6320,Jackson,Taxes Other Equip Jx,1,Equipment
Other Taxes,3,Etairos,75500,6320,Arkansas,Taxes Other Lr,1,Equipment
Other Taxes,1,Etairos,75500,6320,Memphis,Taxes Other Service,2,Service
Other Taxes,1,Etairos,75500,6320,Memphis,Taxes Other Parts Mph,3,Parts
Other Taxes,2,Etairos,75500,6320,Jackson,Taxes Other Parts Jx,3,Parts
Telephone,1,Etairos,63070,6350,Memphis,Telephone Eqp Mphs,1,Equipment
Telephone,2,Etairos,63070,6350,Jackson,Telephone,1,Equipment
Telephone,3,Etairos,63070,6350,Arkansas,Telephone Ar,1,Equipment
Telephone,1,Etairos,63070,6350,Memphis,Telephone,2,Service
Telephone,2,Etairos,63070,6350,Jackson,Telephone,2,Service
Telephone,1,Etairos,63070,6350,Memphis,Telephone,3,Parts
Telephone,2,Etairos,63070,6350,Jackson,Telephone,3,Parts
Telephone,1,Etairos,63070,6350,Memphis,Telephone,4,General/HQ
Travel Expense,1,Etairos,64000,6400,Memphis,Travel,1,Equipment
Travel Expense,2,Etairos,64000,6400,Jackson,Travel,1,Equipment
Travel Expense,3,Etairos,64000,6400,Arkansas,Travel Ar,1,Equipment
Travel Expense,1,Etairos,64000,6400,Memphis,Travel,2,Service
Travel Expense,2,Etairos,64000,6400,Jackson,Travel,2,Service
Travel Expense,1,Etairos,64000,6400,Memphis,Travel,3,Parts
Travel Expense,2,Etairos,64000,6400,Jackson,Travel,3,Parts
Travel Expense,1,Etairos,64000,6400,Memphis,Travel,4,General/HQ
"Training Expense, Professional",1,Etairos,68000,6410,Memphis,Training,1,Equipment
"Training Expense, Professional",2,Etairos,68000,6410,Jackson,Training,1,Equipment
"Training Expense, Professional",3,Etairos,68000,6410,Arkansas,Training,1,Equipment
"Training Expense, Professional",1,Etairos,68000,6410,Memphis,Training,2,Service
"Training Expense, Professional",2,Etairos,68000,6410,Jackson,Training,2,Service
"Training Expense, Professional",1,Etairos,68000,6410,Memphis,Training,3,Parts
"Training Expense, Professional",2,Etairos,68000,6410,Jackson,Training,3,Parts
"Training Expense, Professional",1,Etairos,68000,6410,Memphis,Training,4,General/HQ
Utilities Expense,1,Etairos,63095,6450,Memphis,Utilities,1,Equipment
Utilities Expense,2,Etairos,63095,6450,Jackson,Utilities,1,Equipment
Utilities Expense,1,Etairos,63095,6450,Memphis,Utilities,2,Service
Utilities Expense,2,Etairos,63095,6450,Jackson,Utilities,2,Service
Utilities Expense,1,Etairos,63095,6450,Memphis,Utilities,3,Parts
Utilities Expense,2,Etairos,63095,6450,Jackson,Utilities,3,Parts
Utilities Expense,1,Etairos,63095,6460,Memphis,Security,1,Equipment
Utilities Expense,2,Etairos,63095,6460,Jackson,Security,1,Equipment
Utilities Expense,1,Etairos,63095,6460,Memphis,Security,2,Service
Utilities Expense,2,Etairos,63095,6460,Jackson,Security,2,Service
Utilities Expense,1,Etairos,63095,6460,Memphis,Security,3,Parts
Utilities Expense,2,Etairos,63095,6460,Jackson,Security,3,Parts
Bad Debt,1,Etairos,61700,6600,Memphis,Bad Debts,1,Equipment
Bad Debt,2,Etairos,61700,6600,Jackson,Bad Debts,1,Equipment
Bad Debt,1,Etairos,61700,6600,Memphis,Bad Debts,2,Service
Bad Debt,1,Etairos,61700,6600,Memphis,Bad Debts,3,Parts
