Invoice Number,INVOICE_ID,Invoice Amount,Invoice date,INVOICE_CURRENCY_CODE,SOURCE,Invoice Type,INVOICE_DESCRIPTION,SUPPLIER_NUMBER,SUPPLIER_NAME,LINE_NUMBER,LINE_TYPE,LINE_AMOUNT,LINE_DESCRIPTION,CHARGE_ACCOUNT
95661429,103413,4116.12,2026-01-13,USD,Conversion,STANDARD,FB: PO# - 26-10098  Created for SO #243973,100866,GREENHECK FAN CORPORATION (V),1,ITEM,4116.12,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95661430,103379,927.9,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-18709  Created for SO #243263,100866,GREENHECK FAN CORPORATION (V),1,ITEM,927.9,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95661592,103381,1950.72,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-17362  Created for SO #241009,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1950.72,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95661654,103380,1535.02,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-18863  Created for SO #243585,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1535.02,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95661668,103382,753.72,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-18877  Created for SO #243627,100866,GREENHECK FAN CORPORATION (V),1,ITEM,753.72,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95661686,103902,6749.16,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-18233  Created for SO #242375,100866,GREENHECK FAN CORPORATION (V),1,ITEM,6749.16,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95662030,103909,2170.9,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-18765  Created for SO #243377,100866,GREENHECK FAN CORPORATION (V),1,ITEM,2170.9,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95662031,103903,4230.81,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-18178  Created for SO #242253,100866,GREENHECK FAN CORPORATION (V),1,ITEM,4230.81,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95662032,103908,1337.7,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-18782  Created for SO #243395,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1337.7,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95662062,103910,818.05,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-18711  Created for SO #243268  SO Note: Colin Burrell: 425-894-6045,100866,GREENHECK FAN CORPORATION (V),1,ITEM,818.05,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95662226,103383,518.38,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 26-10075  Created for SO #243336  SO Note: George Walsh - 206.677.2408  Block 38 Level...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,518.38,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95662227,103911,467.78,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-18513  Created for SO #242900,100866,GREENHECK FAN CORPORATION (V),1,ITEM,467.78,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95662241,103384,428.29,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-18499  Created for SO #242424,100866,GREENHECK FAN CORPORATION (V),1,ITEM,428.29,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95662318,103385,409.08,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 26-10103  Created for SO #243643,100866,GREENHECK FAN CORPORATION (V),1,ITEM,409.08,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95662348,103906,137.3,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-18484  Created for SO #242850,100866,GREENHECK FAN CORPORATION (V),1,ITEM,137.3,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95662456,103423,178.86,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 25-18797A  Created for SO #244070,100866,GREENHECK FAN CORPORATION (V),1,ITEM,178.86,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95662456_1,103424,178.86,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 25-18797  Created for SO #243275,100866,GREENHECK FAN CORPORATION (V),1,ITEM,178.86,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95662511,103386,1408.92,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-18599  Created for SO #243007,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1408.92,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95662552,103905,115.58,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 26-10154  Created for SO #243894  SO Note: Colby Littlefield 206*817*3101  PO 25351159,100866,GREENHECK FAN CORPORATION (V),1,ITEM,115.58,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95662631,103907,64272.68,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-17969  Created for SO #241932,100866,GREENHECK FAN CORPORATION (V),1,ITEM,64272.68,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95662674,103904,1717.34,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-18509  Created for SO #242736,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1717.34,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95662744,103913,2410.24,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-18000  Created for SO #241989,100866,GREENHECK FAN CORPORATION (V),1,ITEM,2410.24,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95662745,103388,232.32,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-18720  Created for SO #243285  Jeff Brant  (253)339-1806,100866,GREENHECK FAN CORPORATION (V),1,ITEM,232.32,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95662746,103914,7504.99,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-17753  Created for SO #241223,100866,GREENHECK FAN CORPORATION (V),1,ITEM,7504.99,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95662747,103915,182.55,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 26-10101  Created for SO #243835,100866,GREENHECK FAN CORPORATION (V),1,ITEM,182.55,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95662827,103916,880.11,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 26-10159  Created for SO #243903,100866,GREENHECK FAN CORPORATION (V),1,ITEM,880.11,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95662854,103387,2256.43,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 26-10082  Created for SO #243796.  Expedited Frt cost included in SO cost to customer.,100866,GREENHECK FAN CORPORATION (V),1,ITEM,2256.43,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95662884,103389,3650.39,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-18223  Created for SO #242350,100866,GREENHECK FAN CORPORATION (V),1,ITEM,3650.39,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95662950,103392,11242.72,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-18814  Created for SO #243487  SO Note: This a reorder with negotiated cost for con...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,11242.72,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95662992,103390,1389.12,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 26-10134  Created for SO #243874,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1389.12,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95663011,103917,300,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 26-10138  Created for SO #243881  SO Note: Jason Umbao (425) 570-7097  PO 166045-132966,100866,GREENHECK FAN CORPORATION (V),1,ITEM,300,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95663088,103912,1869.35,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-18714  Created for SO #243273,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1869.35,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95663089,103391,4670.75,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-18782  Created for SO #243395,100866,GREENHECK FAN CORPORATION (V),1,ITEM,4670.75,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95663090,103394,149.22,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-18373  Created for SO #242552,100866,GREENHECK FAN CORPORATION (V),1,ITEM,149.22,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95663156,103393,1273.16,2026-01-09,USD,Conversion,STANDARD,FB: PO# - 25-18579  Created for SO #243038,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1273.16,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95663404,103395,1007.9,2026-01-12,USD,Conversion,STANDARD,FB: PO# - 26-10113  Created for SO #243851,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1007.9,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95663405,103396,4634.04,2026-01-12,USD,Conversion,STANDARD,"FB: PO# - 26-10026  Created for SO #243681  Ramie Havens, Purchasing Manager  Holaday-Parks, Inc...",100866,GREENHECK FAN CORPORATION (V),1,ITEM,4634.04,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95663469,103918,6716.02,2026-01-12,USD,Conversion,STANDARD,FB: PO# - 25-18011  Created for SO #241992,100866,GREENHECK FAN CORPORATION (V),1,ITEM,6716.02,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95663834,103401,471.14,2026-01-12,USD,Conversion,STANDARD,FB: PO# - 25-18627  Created for SO #243104,100866,GREENHECK FAN CORPORATION (V),1,ITEM,471.14,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95663915,103397,1097.5,2026-01-12,USD,Conversion,STANDARD,FB: PO# - 25-18677  Created for SO #243209,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1097.5,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95663993,103398,5202.4,2026-01-12,USD,Conversion,STANDARD,FB: PO# - 25-18806  Created for SO #242472  SO Note: Mike Jenkins: 206-604-2360,100866,GREENHECK FAN CORPORATION (V),1,ITEM,5202.4,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95664058,103400,1548.18,2026-01-12,USD,Conversion,STANDARD,FB: PO# - 25-18693  Created for SO #243237,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1548.18,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95664059,103399,1484.37,2026-01-12,USD,Conversion,STANDARD,FB: PO# - 26-10000  Created for SO #243633,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1484.37,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95664072,103919,4068.09,2026-01-12,USD,Conversion,STANDARD,FB: PO# - 25-18581  Created for SO #243043,100866,GREENHECK FAN CORPORATION (V),1,ITEM,4068.09,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95664151,103402,2573.86,2026-01-12,USD,Conversion,STANDARD,FB: PO# - 26-10092  Created for SO #243786  SO Note: Attn: Ricardo Romero  206-751-7754,100866,GREENHECK FAN CORPORATION (V),1,ITEM,2573.86,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95664152,103403,958.36,2026-01-12,USD,Conversion,STANDARD,FB: PO# - 26-10010  Created for SO #242760,100866,GREENHECK FAN CORPORATION (V),1,ITEM,958.36,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95664264,103406,1787.28,2026-01-12,USD,Conversion,STANDARD,FB: PO# - 26-10129  Created for SO #243869,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1787.28,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95664265,103405,2322.63,2026-01-12,USD,Conversion,STANDARD,FB: PO# - 25-18325  Created for SO #242541  SO Note: Attention Manny Rivera 253-293-6465,100866,GREENHECK FAN CORPORATION (V),1,ITEM,2322.63,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95664327,103407,1770.74,2026-01-12,USD,Conversion,STANDARD,FB: PO# - 25-18679  Created for SO #243216,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1770.74,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95664407,103408,250,2026-01-12,USD,Conversion,STANDARD,FB: PO# - 25-18000A  Created for SO #244065,100866,GREENHECK FAN CORPORATION (V),1,ITEM,250,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95664408,103920,399.29,2026-01-12,USD,Conversion,STANDARD,FB: PO# - 25-18690  Created for SO #243228,100866,GREENHECK FAN CORPORATION (V),1,ITEM,399.29,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95664487,103404,7800.68,2026-01-12,USD,Conversion,STANDARD,FB: PO# - 25-18408  Created for SO #242711    Josh Sande  FOREMAN HVAC SERVICE TECHNICIAN  D. 36...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,7800.68,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95664688,103921,100.98,2026-01-13,USD,Conversion,STANDARD,FB: PO# - 26-10072  Created for SO #243769  SO Note: Terry Moody 253-572-9484   Visual Options  ...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,100.98,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95664689,103409,749.32,2026-01-13,USD,Conversion,STANDARD,FB: PO# - 25-18813  Created for SO #243485  SO Note: Colin Burrell: 425-894-6045  Kolter Raudeba...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,749.32,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95664746,103410,3946.82,2026-01-13,USD,Conversion,STANDARD,FB: PO# - 25-18797  Created for SO #243275,100866,GREENHECK FAN CORPORATION (V),1,ITEM,3946.82,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95664780,103654,117.83,2026-01-13,USD,Conversion,STANDARD,FB: PO# - 26-10014  Created for SO #243661  SO Note: No Charge To Customer,104698,Metalaire,1,ITEM,117.83,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95665002,103922,2759.01,2026-01-13,USD,Conversion,STANDARD,FB: PO# - 26-10041  Created for SO #242088,100866,GREENHECK FAN CORPORATION (V),1,ITEM,2759.01,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95665003,103411,2084.94,2026-01-13,USD,Conversion,STANDARD,FB: PO# - 25-18367  Created for SO #242646,100866,GREENHECK FAN CORPORATION (V),1,ITEM,2084.94,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95665242,103412,430.22,2026-01-13,USD,Conversion,STANDARD,"FB: PO# - 26-10212  Created for SO #244010  Misty Beck  Assistant Project Manager  Emerald Aire,...",100866,GREENHECK FAN CORPORATION (V),1,ITEM,430.22,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95665292,103923,887.88,2026-01-13,USD,Conversion,STANDARD,FB: PO# - 25-15302W  Created for SO #243917  SO Note: Created from RMA #893  Faulty motor replac...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,887.88,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95665293,103414,6892.02,2026-01-13,USD,Conversion,STANDARD,FB: PO# - 25-18228  Created for SO #242355,100866,GREENHECK FAN CORPORATION (V),1,ITEM,6892.02,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95665294,103924,614.75,2026-01-13,USD,Conversion,STANDARD,FB: PO# - 25-14446W  Created for SO #243979  Created from RMA #895  Incorrect motor for CUE on (...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,614.75,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95665424,103415,1797.02,2026-01-13,USD,Conversion,STANDARD,"FB: PO# - 25-18836  Created for SO #243531  Bryan Glidden  |  Hermanson Company, LLP  | Direct 2...",100866,GREENHECK FAN CORPORATION (V),1,ITEM,1797.02,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95665426,103926,360.11,2026-01-13,USD,Conversion,STANDARD,FB: PO# - 26-10224  Created for SO #244026  SO Note: Jesse Galloway 2064021097  po# S8161JG,100866,GREENHECK FAN CORPORATION (V),1,ITEM,360.11,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95665504,103416,702.39,2026-01-13,USD,Conversion,STANDARD,FB: PO# - 26-10075  Created for SO #243336  SO Note: George Walsh - 206.677.2408  Block 38 Level...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,702.39,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95665613,103417,175.21,2026-01-13,USD,Conversion,STANDARD,FB: PO# - 26-10231  Created for SO #244038  SO Note: Mauricio Villanueva -  PO# 1-14102-01,100866,GREENHECK FAN CORPORATION (V),1,ITEM,175.21,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95665661,103420,81.73,2026-01-13,USD,Conversion,STANDARD,FB: PO# - 26-10235  Created for SO #244048  SO Note: David Winfrey (206) 992-9179  po 3087288,100866,GREENHECK FAN CORPORATION (V),1,ITEM,81.73,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95665668,103418,3699.39,2026-01-13,USD,Conversion,STANDARD,FB: PO# - 25-18528  Created for SO #239061,100866,GREENHECK FAN CORPORATION (V),1,ITEM,3699.39,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95665713,103419,114.08,2026-01-13,USD,Conversion,STANDARD,FB: PO# - 26-10219  Created for SO #244022  No charge to customer,100866,GREENHECK FAN CORPORATION (V),1,ITEM,114.08,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95665791,103422,187.5,2026-01-13,USD,Conversion,STANDARD,FB: PO# - 26-10240  Created for SO #244058  SO Note: Terry Moody  - 253-572-9484   PO# 1-14097-01,100866,GREENHECK FAN CORPORATION (V),1,ITEM,187.5,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95665793,103421,92.98,2026-01-13,USD,Conversion,STANDARD,FB: PO# - 26-10245  Created for SO #244066  SO Note: Ted 4254461191  Everett Public SD,100866,GREENHECK FAN CORPORATION (V),1,ITEM,92.98,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95666112,103927,2530.16,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 26-10078  Created for SO #243785  SO Note: Job: 25-240 5115 Apartments  Attention: Cha...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,2530.16,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95666113,103425,3375.97,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 25-18406  Created for SO #240350  SO Note: Attn: Doug Harnish 206-954-8924   PO #261069PS,100866,GREENHECK FAN CORPORATION (V),1,ITEM,3375.97,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95666182,103426,235.53,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 25-18767  Created for SO #243382,100866,GREENHECK FAN CORPORATION (V),1,ITEM,235.53,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95666183,103427,370.02,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 25-18578  Created for SO #243034,100866,GREENHECK FAN CORPORATION (V),1,ITEM,370.02,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95666232,103656,55.18,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 25-18734  Created for SO #243294  Laurie Still-Papen 253-627-7543,104698,Metalaire,1,ITEM,55.18,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95666233,103655,90.97,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 26-10018  Created for SO #243667  SO Note: Returned 12/30/2025  OG SO 243164,104698,Metalaire,1,ITEM,90.97,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95666434,103428,197.34,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 26-10239  Created for SO #244057,100866,GREENHECK FAN CORPORATION (V),1,ITEM,197.34,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95666563,103430,3288.88,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 25-18628  Created for SO #243105,100866,GREENHECK FAN CORPORATION (V),1,ITEM,3288.88,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95666622,103928,900.39,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 26-10107  Created for SO #243819,100866,GREENHECK FAN CORPORATION (V),1,ITEM,900.39,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95666623,103431,554.54,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 26-10220  Created for SO #244025  SO Note: UPS Tracking #1z9403280345179390 (Line 2),100866,GREENHECK FAN CORPORATION (V),1,ITEM,554.54,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95666640,103429,360.11,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 26-10254  Created for SO #243794  SO Note: Scott Moore 509-531-3195    PO 4461/ City H...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,360.11,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95666668,103930,339.7,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 25-18807  Created for SO #242472  SO Note: Mike Jenkins: 206-604-2360,100866,GREENHECK FAN CORPORATION (V),1,ITEM,339.7,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95666669,103432,165.46,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 26-10258  Created for SO #244094,100866,GREENHECK FAN CORPORATION (V),1,ITEM,165.46,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95666687,103929,43.84,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 25-18299W  Created for SO #243797  SO Note: Created from RMA #888  Replacement side pa...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,43.84,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95666719,103439,108.67,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 26-10255  Created for SO #244091  SO Note: Andrei Landrum 602-354-1650  PO OR8232918,100866,GREENHECK FAN CORPORATION (V),1,ITEM,108.67,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95666732,103939,11180.02,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 25-18717  Created for SO #243262,100866,GREENHECK FAN CORPORATION (V),1,ITEM,11180.02,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95666732_1,103438,2088.88,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 26-10095  Created for SO #243830,100866,GREENHECK FAN CORPORATION (V),1,ITEM,2088.88,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95666759,103433,62.09,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 26-10262  Created for SO #244104  SO Note: Rob Wagner 253-838-9780  Prologis Gateway 1...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,62.09,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95666932,103435,35934.11,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 25-18455  Created for SO #242818,100866,GREENHECK FAN CORPORATION (V),1,ITEM,35934.11,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95666933,103434,1457.86,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 26-10191  Created for SO #243975,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1457.86,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95666934,103437,3733.06,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 25-18643  Created for SO #243133,100866,GREENHECK FAN CORPORATION (V),1,ITEM,3733.06,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95666935,103932,5546.61,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 25-18630  Created for SO #243107,100866,GREENHECK FAN CORPORATION (V),1,ITEM,5546.61,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95666936,103931,1292.08,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 25-18851  Created for SO #243447,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1292.08,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95667079,103934,37194.56,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 25-17883  Created for SO #241748  SO Note: ATTN: Devin Bennett  425-281-2839,100866,GREENHECK FAN CORPORATION (V),1,ITEM,37194.56,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95667080,103436,4105.98,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 25-18843  Created for SO #243553,100866,GREENHECK FAN CORPORATION (V),1,ITEM,4105.98,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95667135,103933,1001.54,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 25-18187  Created for SO #242301,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1001.54,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95667224,103935,140.17,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 26-10272  Created for SO #244135  SO Note: John Henkel 206-617-6190  Silas HS Tacoma  ...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,140.17,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95667265,103936,1776.29,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 25-18086  Created for SO #242142,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1776.29,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95667269,103937,1349.27,2026-01-14,USD,Conversion,STANDARD,"FB: PO# - 25-18835  Ordered on a 'standard' multiplier, however GH is going to be changing it to...",100866,GREENHECK FAN CORPORATION (V),1,ITEM,1349.27,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95667270,103940,3791.04,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 25-17763  Created for SO #241558,100866,GREENHECK FAN CORPORATION (V),1,ITEM,3791.04,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95667370,103938,1035.22,2026-01-14,USD,Conversion,STANDARD,FB: PO# - 25-18818  Created for SO #242732  SO Note: Attn: Eli Ruff 360-623-2805  PO 2105495005,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1035.22,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95667520,103945,608.42,2026-01-15,USD,Conversion,STANDARD,FB: PO# - 26-10108  Created for SO #243847,100866,GREENHECK FAN CORPORATION (V),1,ITEM,608.42,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95667641,103941,69.31,2026-01-15,USD,Conversion,STANDARD,FB: PO# - 25-18796  Created for SO #243441  Justin Riggins (253) 348-9888 | cell,100866,GREENHECK FAN CORPORATION (V),1,ITEM,69.31,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95667642,104098,330.48,2026-01-07,USD,Conversion,STANDARD,FB: PO# - 26-10070  Created for SO #243628,104698,Metalaire,1,ITEM,330.48,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95667644,103441,5755.83,2026-01-15,USD,Conversion,STANDARD,FB: PO# - 25-18604  Created for SO #243010,100866,GREENHECK FAN CORPORATION (V),1,ITEM,5755.83,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95667645,103440,239.39,2026-01-15,USD,Conversion,STANDARD,FB: PO# - 25-18619  Created for SO #243079,100866,GREENHECK FAN CORPORATION (V),1,ITEM,239.39,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95667647,103442,1443.12,2026-01-15,USD,Conversion,STANDARD,FB: PO# - 26-10003  Created for SO #243638,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1443.12,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95667739,103946,3194.12,2026-01-15,USD,Conversion,STANDARD,FB: PO# - 25-17828  Created for SO #241646,100866,GREENHECK FAN CORPORATION (V),1,ITEM,3194.12,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95667796,103445,2650.4,2026-01-15,USD,Conversion,STANDARD,FB: PO# - 25-17899  Created for SO #241799,100866,GREENHECK FAN CORPORATION (V),1,ITEM,2650.4,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95667797,103447,10757.25,2026-01-15,USD,Conversion,STANDARD,FB: PO# - 25-18281  Created for SO #242452,100866,GREENHECK FAN CORPORATION (V),1,ITEM,10757.25,Dorse_Line_1,1510.1601.100.000.511000.0000.000
