row_number,Opco,PartyNumber,entity_name_original,address1_original,address2_original,address3_original,city_original,state_original,zip_original,country_original,AddressBill-to_original,PhoneNumber1_original,PhoneNumber2_original,FaxNumber_original,ContactPerson1_original,TaxIdentifier_original,ContactPerson2_original,EmailAddress1_original,EmailAddress2_original,PaymentTerm_original,ShipTo_original,Bill-to_original,.,entity_name_ora,SITE1_address1_ora,SITE2_address1_ora,address2_ora,address3_ora,city_ora,state_ora,zip_ora,country_ora,PhoneNumber1_ora,PhoneNumber2_ora,FaxNumber_ora,ContactPerson1_ora,TaxIdentifier_ora,ContactPerson2_ora,EmailAddress1_ora,EmailAddress2_ora,PaymentTerm_ora,ShipTo_ora,Bill-to_ora,confidence_level,confidence_score,record_status,validated_at
70,CJBS,,Irvin Law Firm,501 Branchway Rd,,,Richmond,VA,23236,US,501 Branchway Rd Richmond VA 23236,,,,,,,wirvin@irvinlawfirm.com,,,Y,Y,,IRVIN LAW FIRM,501 BRANCHWAY RD,,,,RICHMOND,VA,23236,US,,,,,,,wirvin@irvinlawfirm.com,,,Y,Y,LOW,100.0,REVIEW,NaT
71,CJBS,,James River Air Conditioning Company,1905 Westmoreland St,,,Richmond,VA,23230,US,1905 Westmoreland St Richmond VA 23230 USA,(804) 358-9333 ,,,,,,ap@jamesriverair.com,,,Y,Y,,JAMES RIVER AIR CONDITIONING COMPANY,1905 WMORELAND ST,,,,RICHMOND,VA,23230,US,+18043589333,+18043589333,,,,,ap@jamesriverair.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:53:48
72,CJBS,,Jefferson Scholars Foundation,112 Clarke Ct,,,Charlottesville,VA,22903,US,112 Clarke Ct Charlottesville Virginia 22903 United States,,,,,,,finance@jeffersonscholars.org,,,Y,Y,,JEFFERSON SCHOLARS FOUNDATION,112 CLARKE CT,,,,CHARLOTTESVILLE,VA,22903,US,,,,,,,finance@jeffersonscholars.org,,,Y,Y,LOW,100.0,REVIEW,NaT
73,CJBS,,JEMB Realty Corporation,150 Broadway,,,New York,NY,10038,US,"150 Broadway, New York, NY 10038, USA New York  10038",,,,JEMB Realty Corporation,,,,,,Y,Y,,JEMB REALTY CORPORATION,150 BROADWAY,,,,NEW YORK,NY,10038,US,,,,Jemb Realty,,,,,,Y,Y,LOW,100.0,REVIEW,NaT
74,CJBS,,Joe Martinez - Home,10500 Cardigan Circle,,,Glen Allen,VA,23060,US,10500 Cardigan Circle Glen Allen Virginia 23060 United States,(804) 283-1496,,,Joe Martinez - Home,,,jmartinez@cjbuildingsolutions.com,,,Y,Y,,JOE MARTINEZ - HOME,10500 CARDIGAN CIR,,,,GLEN ALLEN,VA,23060,US,+18042831496,+18042831496,,Joe Martinez,,,jmartinez@cjbuildingsolutions.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:54:30
75,CJBS,,JRC Mechanical,417 Network Station,Suite 101,,Chesapeake,VA,23320,US,"417 Network Station
Suite 101 Chesapeake Virginia 23320 United States",757-424-4785,,,JRC Mechanical,,,sbailey@Jrcmechanical.com,,,Y,Y,,JRC MECHANICAL,417 NETWORK STATION,,SUITE 101,,CHESAPEAKE,VA,23320,US,+17574244785,+17574244785,,Jrc Mechanical,,,sbailey@jrcmechanical.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:54:31
76,CJBS,,JRC Services,2740 Ellsmere Ave,Suite B,,Norfolk,VA,23513,US,"2740 Ellsmere Ave
Suite B Norfolk VA 23513 United States",,,,JRC  Services,,,,,,Y,Y,,JRC SERVICES,2740 ELLSMERE AVE,,SUITE B,,NORFOLK,VA,23513,US,,,,Jrc Services,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:54:33
77,CJBS,,JW Enochs Inc,416 E Randolph Rd,,,Hopewell,VA,23860,US,416 E. Randolph Rd. Hopewell VA 23860,,,,,,,wilson@jwenochs.com,,,Y,Y,,JW ENOCHS INC,416 E RANDOLPH RD,,,,HOPEWELL,VA,23860,US,,,,,,,wilson@jwenochs.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:54:35
78,CJBS,,Kaeser Compressors,511 Sigma Dr,,,Fredericksburg,VA,22408,US,511 Sigma Dr. Fredericksburg Virginia 22408 United States,,,,Kaeser  Compressors,,,,,,Y,Y,,KAESER COMPRESSORS,511 SIGMA DR,,,,FREDERICKSBURG,VA,22408,US,,,,Kaeser Compressors,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:54:36
79,CJBS,,Karnes & Stanley Heating & Air LLC,279 Adams Ln,,,Aylett,VA,23009,US,279 Adams Ln Aylett  23009,,,,"Karnes & Stanley Heating & Air, LLC.",,,,,,Y,Y,,KARNES & STANLEY HEATING & AIR LLC,279 ADAMS LN,,,,AYLETT,VA,23009,US,,,,,,,,,,Y,Y,LOW,100.0,REVIEW,NaT
80,CJBS,,Kinderton Group,PO BOX 4215,,,Midlothian,VA,23112-9998,US,"P.O. Box 4215 Midlothian, VA 23112-9998 VA 23112-9998",(804) 845-0270,,,,,,jbowers@kindertongroup.com,,,Y,Y,,KINDERTON GROUP,PO BOX 4215,,,,MIDLOTHIAN,VA,23112-9998,US,+18048450270,+18048450270,,,,,jbowers@kindertongroup.com,,,Y,Y,MEDIUM,70.0,REVIEW,NaT
81,CJBS,,KSH Solutions Inc,3400 Boulevard,,,,,,CA,"3400 Boulevard de Maisonneuve O, Montréal, QC H3Z 3B8, Canada Montréal  H3Z 3B8",,,,KSH Solutions Inc,,,,,,Y,Y,,KSH SOLUTIONS INC,3400 BOUL DE MAISONNEUVE O,,,,MONTREAL,QC,H3Z 3B8,CA,,,,Ksh Solutions,,,,,,Y,Y,HIGH,50.0,READY,NaT
82,CJBS,,Lakewood Manor,1900 Lauderdake Dr,,,Richmond,VA,23238,US,1900 Lauderdake Dr Richmond VA 23238 USA,(804) 740-2900 ,,,,,,,,,Y,Y,,LAKEWOOD MANOR,1900 LAUDERDAKE DR,,,,RICHMOND,VA,23238,US,+18047402900,+18047402900,,,,,,,,Y,Y,LOW,100.0,REVIEW,NaT
83,CJBS,,Leipertz Construction Inc,11610 Grove Park,,,Ct Midlothian,VA,23114,US,"11610 Grove Park Ct, Midlothian, VA 23114",(804) 379-0048 ,,,,,,kstolfi@leipertz.com,,,Y,Y,,LEIPERTZ CONSTRUCTION INC,11610 GROVE PARK,,,,CT MIDLOTHIAN,VA,23114,US,+18043790048,+18043790048,,,,,kstolfi@leipertz.com,,,Y,Y,LOW,100.0,REVIEW,NaT
84,CJBS,,Lincoln Harris LLC,4725 Piedmont Row Dr,Suite 800,,Charlotte,NC,28210,US,4725 Piedmont Row DrSuite 800 Charlotte NC 28210 USA,,,,,,,william.johnson@lpc.com,,,Y,Y,,LINCOLN HARRIS LLC,4725 PIEDMONT ROW DR,,SUITE 800,,CHARLOTTE,NC,28210,US,,,,,,,william.johnson@lpc.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:54:45
85,CJBS,,Locke Supply Co,PO BOX 26128,901 LOCKE SUPPLY,,Oklahoma City,OK,73126-0128,US,901 LOCKE SUPPLYPO Box 26128Locke Supply Oklahoma City OK 73126-0128,,,,,,,APinv@lockesupply.com,,,Y,Y,,LOCKE SUPPLY CO,PO BOX 26128,901 LOCKE SUPPLY,,,OKLAHOMA CITY,OK,73126-0128,US,,,,,,,apinv@lockesupply.com,,,Y,Y,MEDIUM,70.0,REVIEW,NaT
86,CJBS,,Marathon Fuel,,,,,,,US,,,,,Marathon  Fuel,,,,,,,Y,,MARATHON FUEL,,,,,,,,US,,,,Marathon Fuel,,,,,,,Y,LOW,20.0,INVALID,NaT
87,CJBS,,MARTIN CONTROL & EQUIPMENT,,,,,,,US,,,,,,,,,,,,Y,,MARTIN CONTROL & EQUIPMENT,,,,,,,,US,,,,,,,,,,,Y,LOW,20.0,INVALID,NaT
88,CJBS,,Martin Horn,210 Carlton Rd,,,Charlottesville,VA,22902,US,210 Carlton Rd Charlottesville VA 22902 US,(434) 293-6171 ,,,,,,,,,Y,Y,,MARTIN HORN,210 CARLTON RD,,,,CHARLOTTESVILLE,VA,22902,US,+14342936171,+14342936171,,,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:54:49
89,CJBS,,MATTHEW KLIPP (ABM INDUSTRIES),5515 AIRPORT DR,,,IRVING,TX,75061,US,,,,,Matthew  Klipp,,,Matthew.Klipp@abm.com,,,,Y,,MATTHEW KLIPP (ABM INDUSTRIES),5515 AIRPORT DR,,,,IRVING,TX,75061,US,,,,Matthew Klipp,,,matthew.klipp@abm.com,,,,Y,LOW,100.0,REVIEW,NaT
90,CJBS,,Mechanical Solutions,2423 Grenoble Road,,,Richmond,VA,23294,US,2423 Grenoble Road Richmond VA 23294 USA,,,,Mechanical Solutions,,,billiejo@mechanical-solutionsllc.com,,,Y,Y,,MECHANICAL SOLUTIONS,2423 GRENOBLE RD,,,,RICHMOND,VA,23294,US,,,,Mechanical Solutions,,,billiejo@mechanical-solutionsllc.com,,,Y,Y,LOW,100.0,REVIEW,NaT
91,CJBS,,M&E Contractors,9001 Hermitage Rd,,,Richmond,VA,23228,US,9001 Hermitage Rd Richmond VA 23228,,,,M&E Contractors,,,,,,Y,Y,,M&E CONTRACTORS,9001 HERMITAGE RD,,,,RICHMOND,VA,23228,US,,,,Me Contractors,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:54:54
92,CJBS,,Microsoft,ONE MICROSOFT WAY,,,Redmond,WA,98052,US,ONE MICROSOFT WAY Redmond WA 98052 USA,,,,,,,,,,Y,Y,,MICROSOFT,ONE MICROSOFT WAY,,,,REDMOND,WA,98052,US,,,,,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:54:56
93,CJBS,,Middle River Regional Jail,350 Technology Drive,,,Staunton,VA,24401,US,350 Technology Drive Staunton VA 24401,(540) 245-5420 ,,,,,,pbraverman@mrrjva.gov,,,Y,Y,,MIDDLE RIVER REGIONAL JAIL,350 TECHNOLOGY DR,,,,STAUNTON,VA,24401,US,+15402455420,+15402455420,,,,,pbraverman@mrrjva.gov,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:54:58
94,CJBS,,Miller Mechanical,2504 Grenoble Rd,,,Richmond,VA,23294,US,2504 Grenoble Rd. Richmond VA 23294,(804) 264-1279 ,,,Miller Mechanical,,,ap@millermechanical.com,,,Y,Y,,MILLER MECHANICAL,2504 GRENOBLE RD,,,,RICHMOND,VA,23294,US,+18042641279,+18042641279,,Miller Mechanical,,,ap@millermechanical.com,,,Y,Y,LOW,100.0,REVIEW,NaT
95,CJBS,,MPNN â€“ Behavioral Health,6965 Fox Hunt Lane,,,Gloucester,VA,23061,US,6965 Fox Hunt Lane Gloucester VA 23061 USA,(804) 824-3818 ,,,Larry  Kight,,,lkight@mpnn.state.va.us,,,Y,Y,,MPNN â€“ BEHAVIORAL HEALTH,6965 FOX HUNT LN,,,,GLOUCESTER,VA,23061,US,+18048243818,+18048243818,,Larry Kight,,,lkight@mpnn.state.va.us,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:55:01
96,CJBS,,Navien Inc,3000 John Deere Rd,,,Toano,VA,23168,US,3000 John Deere Rd Toano Virginia 23168,,,,Navien,,,,,,Y,Y,,NAVIEN INC,3000 JOHN DEERE RD,,,,TOANO,VA,23168,US,,,,Navien,,,,,,Y,Y,LOW,100.0,REVIEW,NaT
97,CJBS,,New Kent County Public Schools,7365 Egypt Rd,,,New Kent,VA,23124,US,7365 Egypt Rd. New Kent Virginia 23124 United States,,,,New Kent County Public Schools,,,,,,Y,Y,,NEW KENT COUNTY PUBLIC SCHOOLS,7365 EGYPT RD,,,,NEW KENT,VA,23124,US,,,,,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:55:04
98,CJBS,,Nexcom,3280 Virginia Beach Blvd,,,Virginia Beach,VA,23452,US,3280 Virginia Beach Blvd Virginia Beach VA 23452 United States,,,,,,,,,,Y,Y,,NEXCOM,3280 VIRGINIA BEACH BLVD,,,,VIRGINIA BEACH,VA,23452,US,,,,,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:55:06
99,CJBS,,Norfolk Christian,255 Thole Street,,,Norfolk,VA,23505,US,255 Thole Street Norfolk VA 23505 US,(757) 423-5770 ,,,,,,lcutherell@norfolkchristian.org,,,Y,Y,,NORFOLK CHRISTIAN,255 THOLE ST,,,,NORFOLK,VA,23505,US,+17574235770,+17574235770,,,,,lcutherell@norfolkchristian.org,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:55:08
100,CJBS,,Norfolk Collegiate,7336 Granby St,,,Norfolk,VA,23505,US,7336 Granby St. Norfolk VA 23505 USA,,,,,,,payables@norfolkcollegiate.org,,,Y,Y,,NORFOLK COLLEGIATE,7336 GRANBY ST,,,,NORFOLK,VA,23505,US,,,,,,,payables@norfolkcollegiate.org,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:55:10
101,CJBS,,Novo Nordisk Pharmaceutical Industries LP,3612 Powhatan Road,,,Clayton,NC,27527,US,3612 Powhatan Road Clayton North Carolina 27527 United States,,,,"Novo Nordisk Pharmaceutical Industries, LP",,,AP-NOVO-CLAYTON@novonordisk.com,,,Y,Y,,NOVO NORDISK PHARMACEUTICAL INDUSTRIES LP,3612 POWHATAN RD,,,,CLAYTON,NC,27527,US,,,,,,,ap-novo-clayton@novonordisk.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:55:11
102,CJBS,,Old Dominion Mechanical (C),800 W Leigh Street,,,Richmond,VA,23220,US,800 W. Leigh Street Richmond VA 23220 USA,,,,,,,invoices@odmva.com,,,Y,Y,,OLD DOMINION MECHANICAL (C),800 W LEIGH ST,,,,RICHMOND,VA,23220,US,,,,,,,invoices@odmva.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:55:13
103,CJBS,,Opal Fuels,5087 Junction Road,,,Lockport,NY,14094,US,5087 Junction Road Lockport NY 14094 US,,,,,,,jwells@opalfuels.com,,,Y,Y,,OPAL FUELS,5087 JUNCTION RD,,,,LOCKPORT,NY,14094,US,,,,,,,jwells@opalfuels.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:55:14
104,CJBS,,Pamunkey Regional Jail,PO BOX 510,,,Hanover,VA,23069,US,PO Box 510 Hanover Virginia 23069 United States,,,,Pamunkey Regional Jail,,,,,,Y,Y,,PAMUNKEY REGIONAL JAIL,PO BOX 510,,,,HANOVER,VA,23069,US,,,,Pamunkey Regional,,,,,,Y,Y,MEDIUM,70.0,REVIEW,NaT
105,CJBS,,Pavion,4151 Lafayette Center Drive,,,Chantilly,VA,20151,US,4151 Lafayette Center Drive Chantilly VA 20151 United States,,,,Pavion,,,pavionapinvoices@V360.Pavion.com,,,Y,Y,,PAVION,4151 LAFAYETTE CENTER DR,,,,CHANTILLY,VA,20151,US,,,,Pavion,,,pavionapinvoices@v360.pavion.com,,,Y,Y,LOW,100.0,REVIEW,NaT
106,CJBS,,Peoples Bank,138 Putnam St,,,Marietta,OH,45750,US,138 Putnam St Marietta OH 45750 USA,(740) 376-7133,,,,,,Christopher.Miller@pebo.com,,,Y,Y,,PEOPLES BANK,138 PUTNAM ST,,,,MARIETTA,OH,45750,US,+17403767133,+17403767133,,,,,christopher.miller@pebo.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:55:18
107,CJBS,,Petersburg Public Schools,255 South Blvd,,,E Petersburg,VA,23805,US,255 South Blvd E Petersburg Virginia 23805 United States,,,,,,,LaHopkins@petersburg.k12.va.us,,,Y,Y,,PETERSBURG PUBLIC SCHOOLS,255 S BLVD,,,,E PETERSBURG,VA,23805,US,,,,,,,lahopkins@petersburg.k12.va.us,,,Y,Y,LOW,100.0,REVIEW,NaT
108,CJBS,,Piedmont YMCA,151 McIntire Park Dr,,,Charlottesville,VA,22902,US,151 McIntire Park Dr Charlottesville Virginia 22902 United States,,,,Piedmont  YMCA,,,mhenry@piedmontymca.org,,,Y,Y,,PIEDMONT YMCA,151 MCINTIRE PARK DR,,,,CHARLOTTESVILLE,VA,22902,US,,,,Piedmont Ymca,,,mhenry@piedmontymca.org,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:55:21
109,CJBS,,PJP III Condominium Association,600 Peter Jefferson Pkwy,,,Charlottesville,VA,22911,US,600 Peter Jefferson Pkwy Charlottesville Virginia 22911 United States,,,,,,,susan.canterbury@colliers.com,,,Y,Y,,PJP III CONDOMINIUM ASSOCIATION,600 PETER JEFFERSON PKWY,,,,CHARLOTTESVILLE,VA,22911,US,,,,,,,susan.canterbury@colliers.com,,,Y,Y,LOW,100.0,REVIEW,NaT
110,CJBS,,Prince George County Public Schools,PO BOX 400,6410 Courts Dr,,Prince George,VA,23875,US,6410 Courts DrPO Box 400 Prince George VA 23875 US,,,,,,,pbarnes@pgs.k12.va.us,,,Y,Y,,PRINCE GEORGE COUNTY PUBLIC SCHOOLS,PO BOX 400,6410 CTS DR,,,PRINCE GEORGE,VA,23875,US,,,,,,,pbarnes@pgs.k12.va.us,,,Y,Y,MEDIUM,70.0,REVIEW,NaT
111,CJBS,,QINETIQ US HOLDINGS INC,7918 JONES BRANCH DR,STE 350,,MCLEAN,VA,22102,US,,,,,,,,accountspayable@us.QinetiQ.com,,,,Y,,QINETIQ US HOLDINGS INC,7918 JONES BRANCH DR,,STE 350,,MCLEAN,VA,22102,US,,,,,,,accountspayable@us.qinetiq.com,,,,Y,LOW,100.0,REVIEW,NaT
112,CJBS,,QinetiQ Inc,10440 Furnace Rd,Suite 204,,Lorton,VA,22079,US,10440 Furnace Rd Suite 204 Lorton VA 22079 USA,,,,,,,,,,Y,Y,,QINETIQ INC,10440 FURNACE RD,,SUITE 204,,LORTON,VA,22079,US,,,,,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:55:27
113,CJBS,,Range Commercial,4235 Innslake Drive,Suite 200,,Glen Allen,VA,23060,US,"4235 Innslake Drive
Suite 200 Glen Allen Virginia 23060 United States",,,,,,,,,,Y,Y,,RANGE COMMERCIAL,4235 INNSLAKE DR,,SUITE 200,,GLEN ALLEN,VA,23060,US,,,,,,,,,,Y,Y,LOW,100.0,REVIEW,NaT
114,CJBS,,Reimers Electra Steam Inc,4407 Martinsburg Pike,,,Clear Brook,VA,22624,US,4407 Martinsburg Pike Clear Brook VA 22624 US,(540) 662-3811 ,,,,,,,,,Y,Y,,REIMERS ELECTRA STEAM INC,4407 MARTINSBURG PIKE,,,,CLEAR BROOK,VA,22624,US,+15406623811,+15406623811,,,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:55:30
115,CJBS,,Retrofit Services Inc,2106 Aluminum Ave,Ste C,,Hampton,VA,23661,US,2106 Aluminum Ave Ste C Hampton VA 23661 USA,(804) 921-6090,,,Antwone  Ross,,,aross@retrofit-services.com,,,Y,Y,,RETROFIT SERVICES INC,2106 ALUMINUM AVE,,STE C,,HAMPTON,VA,23661,US,+18049216090,+18049216090,,Antwone Ross,,,aross@retrofit-services.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:55:32
116,CJBS,,Riddleberger Brothers,6127 S Valley Pike,,,Mt Crawford,VA,22841,US,6127 S Valley Pike Mt Crawford Virginia 22841,,,,Riddleberger  Brothers,,,Lamd@rbiva.com,,,Y,Y,,RIDDLEBERGER BROTHERS,6127 S VALLEY PIKE,,,,MT CRAWFORD,VA,22841,US,,,,Riddleberger Brothers,,,lamd@rbiva.com,,,Y,Y,LOW,100.0,REVIEW,NaT
117,CJBS,,RS Harritan & Company Inc,3280 Formex Rd,,,Richmond,VA,23224,US,3280 Formex Rd. Richmond VA 23224 USA,,,,,,,Tommy_Johnson@Emcorgroup.com,,,Y,Y,,RS HARRITAN & COMPANY INC,3280 FORMEX RD,,,,RICHMOND,VA,23224,US,,,,,,,tommy_johnson@emcorgroup.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:55:35
118,CJBS,,Rycon Construction,909 Rose Ave,Suite 620,,North Bethesda,MD,20852,US,909 Rose AveSuite 620 North Bethesda Maryland 20852 United States,(240) 363-4920 ,,,Rycon  Construction,,,,,,Y,Y,,RYCON CONSTRUCTION,909 ROSE AVE,,SUITE 620,,NORTH BETHESDA,MD,20852,US,+12403634920,+12403634920,,Rycon Construction,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:55:37
119,CJBS,,Sabra,15900 Sabra Way,,,Colonial Heights,VA,23834,US,15900 Sabra Way Colonial Heights VA 23834,(804) 431-3174 ,,,,,,jbaucom@sabra.com,,,Y,Y,,SABRA,15900 SABRA WAY,,,,COLONIAL HEIGHTS,VA,23834,US,+18044313174,+18044313174,,,,,jbaucom@sabra.com,,,Y,Y,LOW,100.0,REVIEW,NaT
120,CJBS,,SALTGRASS LEWISVILLE,,,,,,,US,,,,,SALTGRASS  LEWISVILLE,,,,,,,Y,,SALTGRASS LEWISVILLE,,,,,,,,US,,,,Saltgrass Lewisville,,,,,,,Y,LOW,20.0,INVALID,NaT
121,CJBS,,Schneider (C),,,,,,,US,,,,,,,,,,,,Y,,SCHNEIDER (C),,,,,,,,US,,,,,,,,,,,Y,LOW,20.0,INVALID,NaT
122,CJBS,,Schneider Electric National Accounts (C),,,,,,,US,,,,,,,,,,,,Y,,SCHNEIDER ELECTRIC NATIONAL ACCOUNTS (C),,,,,,,,US,,,,,,,,,,,Y,LOW,20.0,INVALID,NaT
123,CJBS,,Scripps,312 Walnut Street,Suite 2800,,Cincinnati,OH,45202,US,312 Walnut StreetSuite 2800 Cincinnati OH 45202 US,(877) 704-8673 ,,,,,,apcustomerservice@scripps.com,,,Y,Y,,SCRIPPS,312 WALNUT ST,,SUITE 2800,,CINCINNATI,OH,45202,US,+18777048673,+18777048673,,,,,apcustomerservice@scripps.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:55:45
124,CJBS,,Siemens - Norfolk,300 New Jersey Ave,Ste 1000,,Washington,DC,20001,US,300 New Jersey Ave Ste 1000 Washington DC 20001 USA,(804) 295-9662,,,,,,wes.smith@siemens.com,,,Y,Y,,SIEMENS - NORFOLK,300 NEW JERSEY AVE,,STE 1000,,WASHINGTON,DC,20001,US,+18042959662,+18042959662,,,,,wes.smith@siemens.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:55:47
125,CJBS,,Siemens - Richmond,5106 Glen Alden Dr,,,Henrico,VA,23231,US,5106 Glen Alden Dr Henrico  23231,,,,Siemens - Richmond,,,,,,Y,Y,,SIEMENS - RICHMOND,5106 GLEN ALDEN DR,,,,HENRICO,VA,23231,US,,,,Siemens Richmond,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:55:48
126,CJBS,,Sodexo,3847 Crum Rd,,,Youngstown,OH,44515,US,3847 Crum Rd Youngstown OH 44515,,,,,,,Danette.Moore@sodexo.com,,,Y,Y,,SODEXO,3847 CRUM RD,,,,YOUNGSTOWN,OH,44515,US,,,,,,,danette.moore@sodexo.com,,,Y,Y,LOW,100.0,REVIEW,NaT
127,CJBS,,Southeastern Mechanical Inc,820 Juniper,,,Cres Chesapeake,VA,23320,US,820 Juniper Cres. Chesapeake Virginia 23320 United States,(757) 420-4701 ,,,,,,terri@smiva.com,,,Y,Y,,SOUTHEASTERN MECHANICAL INC,820 JUNIPER,,,,CRES CHESAPEAKE,VA,23320,US,+17574204701,+17574204701,,,,,terri@smiva.com,,,Y,Y,LOW,100.0,REVIEW,NaT
128,CJBS,,SRC Inc,5711 Greendale Rd,,,Richmond,VA,23228,US,5711 Greendale Rd Richmond VA 23228 USA,(804) 355-6454 ,,,,,,mike@src-inc.net,,,Y,Y,,SRC INC,5711 GREENDALE RD,,,,RICHMOND,VA,23228,US,+18043556454,+18043556454,,,,,mike@src-inc.net,,,Y,Y,LOW,100.0,REVIEW,NaT
129,CJBS,,SSC Services for Education,2400 Yorkmont Road,,,Charlotte,NC,28217,US,2400 Yorkmont Road Charlotte NC 28217 US,(757) 357-8060 ,,,,,,Frances.Scudder@sscserv.com,,,Y,Y,,SSC SERVICES FOR EDUCATION,2400 YORKMONT RD,,,,CHARLOTTE,NC,28217,US,+17573578060,+17573578060,,,,,frances.scudder@sscserv.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:55:55
130,CJBS,,Standard Electric,,,,,,,US,,,,,,,,,,,,Y,,STANDARD ELECTRIC,,,,,,,,US,,,,,,,,,,,Y,LOW,20.0,INVALID,NaT
131,CJBS,,Stonebridge School,1629 Jolliff Road,,,Chesapeake,VA,23321,US,1629 Jolliff Road Chesapeake VA 23321 USA,(757) 429-9862 ,,,,,,ariel.seitz@stonebridgeschool.com,,,Y,Y,,STONEBRIDGE SCHOOL,1629 JOLLIFF RD,,,,CHESAPEAKE,VA,23321,US,+17574299862,+17574299862,,,,,ariel.seitz@stonebridgeschool.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:55:58
132,CJBS,,St Thomas Aquinas,401 Alderman Rd,,,Charlottesville,VA,22903,US,401 Alderman Rd Charlottesville Virginia 22903 United States,,,,St Thomas Aquinas,,,Facilities@stauva.org,,,Y,Y,,ST THOMAS AQUINAS,401 ALDERMAN RD,,,,CHARLOTTESVILLE,VA,22903,US,,,,Thomas Aquinas,,,facilities@stauva.org,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:56:00
133,CJBS,,Super Radiator,451 Southlake Blvd,,,Richmond,VA,23236,US,451 Southlake Blvd Richmond VA 23236 USA,,,,,,,va-apmail@superradiatorcoils.com,,,Y,Y,,SUPER RADIATOR,451 SLAKE BLVD,,,,RICHMOND,VA,23236,US,,,,,,,va-apmail@superradiatorcoils.com,,,Y,Y,LOW,100.0,REVIEW,NaT
134,CJBS,,T5 Data Center - Microsoft,3344 Peachtree Rd,Suite 2550,,Atlanta GA 2550,,,US,3344 Peachtree RdSuite 2550 Atlanta GA 2550,,,,,,,,,,Y,Y,,T5 DATA CENTER - MICROSOFT,3344 PEACHTREE RD NE,,SUITE 2550,,ATLANTA,GA,30326,US,,,,,,,,,,Y,Y,HIGH,63.33,READY,2026-01-11 13:56:03
135,CJBS,,Temperature Control Mechanical Services,11197 Leadbetter Road,,,Ashland,VA,23005,US,11197 Leadbetter Road Ashland VA 23005 US,(804) 752-2757 ,,,,,,chargadon@tcms.net,,,Y,Y,,TEMPERATURE CONTROL MECHANICAL SERVICES,11197 LEADBETTER RD,,,,ASHLAND,VA,23005,US,+18047522757,+18047522757,,,,,chargadon@tcms.net,,,Y,Y,LOW,100.0,REVIEW,NaT
136,CJBS,,Thalhimer,PO Box 5160,,,Glen Allen,VA,23058,US,P.O. Box 5160 Glen Allen VA 23058 USA,(804) 648-5881,,,,,,,,,Y,Y,,THALHIMER,PO BOX 5160,,,,GLEN ALLEN,VA,23058,US,+18046485881,+18046485881,,,,,,,,Y,Y,MEDIUM,70.0,REVIEW,NaT
137,CJBS,,T&H Services,1279 W 10 St,Suite B,,Blackstone,VA,23824,US,"1279 W 10 St
Suite B Blackstone Virginia 23824 United States",,,,,,,fastc.ap@thtbc.com,,,Y,Y,,T&H SERVICES,1279 W 10 ST,,SUITE B,,BLACKSTONE,VA,23824,US,,,,,,,fastc.ap@thtbc.com,,,Y,Y,LOW,100.0,REVIEW,NaT
138,CJBS,,TLA INC,111 N Otterdale Rd,,,Midlothian,VA,23113,US,111 N. Otterdale Rd Midlothian VA 23113,(804) 321-4444 ,,,TLA  INC,,,jeff.perryman@tla-va.com,,,Y,Y,,TLA INC,111 N OTTERDALE RD,,,,MIDLOTHIAN,VA,23113,US,+18043214444,+18043214444,,Tla Inc,,,jeff.perryman@tla-va.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:56:08
