Opco,Bill-to,zip_ora,city_ora,Ship to's,state_ora,row_number,PartyNumber,country_ora,address2_ora,address3_ora,validated_at,zip_original,FaxNumber_ora,city_original,record_status,AddressBill-to,AddressShip-to,state_original,PaymentTerm_ora,entity_name_ora,PhoneNumber1_ora,PhoneNumber2_ora,confidence_level,confidence_score,EmailAddress1_ora,EmailAddress2_ora,TaxIdentifier_ora,address1_original,address2_original,ContactPerson1_ora,ContactPerson2_ora,FaxNumber_original,SITE1_address1_ora,SITE2_address1_ora,entity_name_original,PhoneNumber1_original,PhoneNumber2_original,EmailAddress1_original,EmailAddress2_original,TaxIdentifier_original,ContactPerson1_original,ContactPerson2_original
Airetech,Y,72336,FORREST CITY,,AR,608,1615,US,,,NaT,AR,,,READY,,,FORREST CITY,NET 30,HENRY E PEACOCK ASSOCIATES,+18706330437,,MEDIUM,70,,,,PO BOX 224,,Accounts Payable,,,PO BOX 224,,HENRY E PEACOCK ASSOCIATES,72336,,,,,ACCOUNTS PAYABLE,
Airetech,Y,72211,LITTLE ROCK,,AR,609,1616,US,,,NaT,AR,,,READY,,,LITTLE ROCK,NET 30,HEROES COFFEE,+15015373000,,HIGH,100,,,,1301 SOUTH SHACKELFORD RD,,Brian Harris,,,1301 S SHACKELFORD RD,,HEROES COFFEE,72211,,,,,BRIAN HARRIS,
Airetech,Y,72712,BENTONVILLE,,AR,610,1617,US,,,2026-01-09 04:40:23,AR,,,READY,,,BENTONVILLE,NET 30,HEROES COFFEE,,,HIGH,80,,,,124 SW 8TH ST,,Tim Ferguson,,,124 SW 8TH ST,,HEROES COFFEE,72712,,,,,TIM FERGUSON,
Airetech,Y,74132,TULSA,Y,OK,611,1618,US,,,2026-01-09 04:40:25,OK,+19185082992,,READY,,,TULSA,NET 30,HERRON MECHANICAL,+19185082991,,HIGH,80,,,587616,6544 S 43RD W AVENUE,,,,918-508-2992,6544 S 43RD W AVE,,HERRON MECHANICAL,74132,,,,587616,,
Airetech,Y,38118,MEMPHIS,,TN,612,1619,US,STE 1,,2026-01-09 04:40:27,TN,,,READY,,,MEMPHIS,NET 30,HESCO MID SOUTH,+18004444372,,HIGH,80,,,,3840 VISCOUNT,SUITE 1,,,,3840 VISCOUNT,,HESCO MID SOUTH,38118,,,,,,
Airetech,Y,74401,MUSKOGEE,,OK,613,1620,US,,,2026-01-09 04:40:29,OK,,,READY,,,MUSKOGEE,NET 30,HESS MECHANICAL CONSTRUCTION,+19188409041,,HIGH,80,,,,4541 S 114TH STREET W,,,,,4541 S 114TH ST W,,HESS MECHANICAL CONSTRUCTION,74401,,,,,,
Airetech,Y,72019,BENTON,,AR,614,1621,US,,,2026-01-09 04:40:31,AR,,,READY,,,BENTON,NET 30,HESTCO INC,+15015744821,,HIGH,80,,,,1411 LEAWOOD DRIVE,,,,,1411 LEAWOOD DR,,HESTCO INC,72019,,,,,,
Airetech,Y,79073,PLAINVIEW,,TX,615,1622,US,,,NaT,TX,+18062931103,,READY,,,PLAINVIEW,NET 30,HI PLAINS MILLWRIGHT & SUPPLY INC,+18062934471,,MEDIUM,70,,,,PO BOX 1328,,Jeanna Barnes,,806-293-1103,PO BOX 1328,,HI PLAINS MILLWRIGHT AND SUPPLY INC,79073,,,,,JEANNA BARNES,
Airetech,Y,74070,SKIATOOK,,OK,616,1623,US,,,2026-01-09 04:40:34,OK,,,READY,,,SKIATOOK,NET 30,HIGH PERFORMANCE HVAC,+19187245630,,HIGH,80,,,,425 W CHEROKEE,,Jason Girst,,,425 W CHEROKEE,,HIGH PERFORMANCE HVAC,74070,,,,,JASON GIRST,
Airetech,Y,71602,PINE BLUFF,,AR,617,1624,US,,,2026-01-09 04:40:36,AR,+15014231000,,READY,,,PINE BLUFF,NET 30,HIGHLAND PELLETS LLC,+18702092717,,HIGH,80,,,66515282-SLS,EMAIL @,5601 INDUSTRIAL DRIVE N,Charity Stephens,,501-423-1000,5601 INDUSTRIAL DR N,,HIGHLAND PELLETS LLC,71602,,,,66515282-SLS,CHARITY STEPHENS,
Airetech,Y,72702,FAYETTEVILLE,,AR,618,1625,US,,,NaT,AR,+14178371108,,READY,,,FAYETTEVILLE,NET 30,HILAND DIARY COMPANY,+14178629311,,MEDIUM,70,,,,PO BOX 3478,,,,417-837-1108,PO BOX 3478,,HILAND DIARY COMPANY,72702,,,,,,
Airetech,Y,72114,LITTLE ROCK,,AR,619,1626,US,STE 850,,2026-01-09 04:40:38,AR,,,READY,,,LITTLE ROCK,NET 30,HILBURN LAW FIRM,+15014162729,,HIGH,80,,,,ONE RIVERFRONT PLACE,SUITE 850,Carrold E Ray,,,ONE RIVERFRONT PL,,HILBURN LAW FIRM,72114,,,,,CARROLD E RAY,
Airetech,Y,74014,BROKEN ARROW,,OK,620,1627,US,,,2026-01-09 04:40:40,OK,+19182591702,,READY,,,BROKEN ARROW,NET 30,HILL & COMPANY,+19182588855,,HIGH,80,,,,12345 S 193RD E AVENUE,,Jennifer Foster,,918-259-1702,12345 S 193RD E AVE,,HILL AND COMPANY,74014,,,,,JENNIFER FOSTER,
Airetech,Y,71913,HOT SPRINGS,,AR,621,1628,US,,,2026-01-09 04:40:42,AR,+15015253249,,READY,,,HOT SPRINGS,NET 30,HILL & COX CORPORATION,+15015258273,,HIGH,80,,,,1820-A HIGDON FERRY ROAD,,Sharon Simmons,,501-525-3249,1820-A HIGDON FERRY RD,,HILL AND COX CORPORATION,71913,,,,,SHARON SIMMONS,
Airetech,Y,74450,OKTAHA,,OK,622,1629,US,,,2026-01-09 04:40:44,OK,,,READY,,,OKTAHA,NET 30,HILL GLASS & DOOR LLC,+19186825100,,HIGH,80,,,,12330 OKTAHA RD,,Pete Womack,,,12330 OKTAHA RD,,HILL GLASS AND DOOR LLC,74450,,,,,PETE WOMACK,
Airetech,Y,80246,DENVER,,CO,623,1630,US,,,2026-01-09 04:40:46,CO,,,READY,,,DENVER,NET 30,HILL PLACE APARTMENTS,,,HIGH,80,,,,4100 E MISSISSIPPI AVENUE,,John Jones,,,4100 E MISSISSIPPI AVE,,HILL PLACE APARTMENTS,80246,,,,,JOHN JONES,
Airetech,Y,74119,TULSA,N,OK,624,1631,US,STE 2530,,2026-01-09 04:40:48,OK,+19185846636,,READY,,,TULSA,NET 30,HILLCREST MEDICAL CENTER,+19185797044,,HIGH,80,,,,110 WEST 7TH STREET,SUITE 2530,,,918-584-6636,110 W 7TH ST,,HILLCREST MEDICAL CENTER,74119,,,,,,
Airetech,Y,63043,MARYLAND HEIGHTS,,MO,625,1632,US,,,NaT,MO,+13145137686,,READY,,,MARYLAND HEIGHTS,NET 30,HILLSHIRE BRANDS CO,+18777789288,,MEDIUM,70,,,,PO BOX 2502,,Brookes Britcher Jr,,314-513-7686,PO BOX 2502,,HILLSHIRE BRANDS CO,63043,,,,,BROOKES BRITCHER JR,
Airetech,Y,74135,TULSA,N,OK,626,1633,US,,,2026-01-09 04:40:50,OK,+19188787779,,READY,,,TULSA,NET 30,HILTON GARDEN INN,+19188787777,,HIGH,80,steve.nabilsi@hilton.com,,,STEVE.NABILSI@HILTON.COM,4518 E SKELLY DRIVE,Steve Nabilsi,,9188787779,4518 E SKELLY DR,,HILTON GARDEN INN TULSA  SUNNY INVE,74135,,steve.nabilsi@hilton.com,,,STEVE NABILSI,
Airetech,Y,75944,ETOILE,,TX,627,1634,US,,,NaT,TX,+19368543263,,READY,,,ETOILE,NET 30,HL NELSON CONSTRUCTION INC,+19368542873,,HIGH,100,,,,EMAIL @,664 CR 475,Holly Kirchner,,936-854-3263,664 CR 475,,HL NELSON CONSTRUCTION INC,75944,,,,,HOLLY KIRCHNER,
Airetech,Y,23541,NORFOLK,,VA,628,1635,US,,,NaT,VA,,,READY,,,NORFOLK,NET 30,HOBBS & ASSOCIATES,+17574688800,,MEDIUM,70,,,68164017-001,PO BOX 12909,,Accounts Payable,,,PO BOX 12909,,HOBBS AND ASSOCIATES,23541,,,,68164017-001,ACCOUNTS PAYABLE,
Airetech,Y,72018,BENTON,,AR,629,1636,US,,,NaT,AR,,,READY,,,BENTON,NET 30,HOBBY ELECTRIC INC,+15016209324,,MEDIUM,70,hobbyelectricinc@yahoo.com,,,HOBBYELECTRICINC@YAHOO.COM,PO BOX 1821,Nathan Molsbee,,,PO BOX 1821,,HOBBY ELECTRIC INC,72018,,hobbyelectricinc@yahoo.com,,,NATHAN MOLSBEE,
Airetech,Y,72206,LITTLE ROCK,,AR,630,1637,US,,,2026-01-09 04:40:54,AR,+15014902029,,READY,,,LITTLE ROCK,NET 30,HOLIDAY INN,+15014901000,,HIGH,80,,,,3201 BANKHEAD DRIVE,,Holly Mahoney,,501-490-2029,3201 BANKHEAD DR,,HOLIDAY INN AIRPORT,72206,,,,,HOLLY MAHONEY,
Airetech,Y,74033,GLENPOOL,,OK,631,1638,US,GLENPOOL TULSA S,,2026-01-09 04:40:57,OK,+19184975920,,READY,,,GLENPOOL,NET 30,HOLIDAY INN EXPRESS & SUITES,+19186253433,,HIGH,80,,,,12209 S YUKON AVE,GLENPOOL TULSA SOUTH,Robert Patel,,918-497-5920,12209 S YUKON AVE,,HOLIDAY INN EXP AND STE GLENPOOL TU,74033,,,,,ROBERT PATEL,
Airetech,Y,71730-7803,EL DORADO,,AR,632,1639,US,,,2026-01-09 04:40:59,AR,,,READY,,,EL DORADO,NET 30,HOLIDAY INN EXPRESS,,,HIGH,80,,,,1819 JUNCTION CITY ROAD,,Sanjay Patel,,,1819 JUNCTION CITY RD,,HOLIDAY INN EXPRESS EL DORADO,71730-7803,,,,,SANJAY PATEL,
Airetech,Y,72206,LITTLE ROCK,,AR,633,1640,US,,,2026-01-09 04:41:01,AR,,,READY,,,LITTLE ROCK,NET 30,HOLIDAY INN EXPRESS,+15014901000,,HIGH,80,,,,3201 BANKHEAD DRIVE,,Rick White,,,3201 BANKHEAD DR,,HOLIDAY INN EXPRESS LITTLE ROCK,72206,,,,,RICK WHITE,
Airetech,Y,74133,TULSA,,OK,634,1641,US,,,2026-01-09 04:41:03,OK,,,READY,,,TULSA,NET 30,HOLIDAY INN HOTEL & SUITES,+19189945000,,HIGH,80,,,,10020 E 81ST STREET,,,,,10020 E 81ST ST,,HOLIDAY INN HOTEL AND STE TULSA S,74133,,,,,,
Airetech,Y,74401,MUSKOGEE,Y,OK,635,1642,US,,,2026-01-09 04:41:06,OK,,,READY,,,MUSKOGEE,NET 30,HOLLIFIELD SERVICE CO,+19187813993,,HIGH,80,accounts@hollifieldservice.com,,,ACCOUNTS@HOLLIFIELDSERVICE.COM,1763 N 64TH STREET WEST,John Hollifield,,,1763 N 64TH ST W,,HOLLIFIELD SERVICE CO,74401,,accounts@hollifieldservice.com,,,JOHN HOLLIFIELD,
Airetech,Y,72687,YELLVILLE,,AR,636,1643,US,,,NaT,AR,,,READY,,,YELLVILLE,NET 30,HOLMES HEATING & AC LLC,+18704047805,,MEDIUM,70,,,,PO BOX 189,,Chase Holmes,,,PO BOX 189,,HOLMES HEATING AND AC LLC,72687,,,,,CHASE HOLMES,
Airetech,Y,74960,STILLWELL,Y,OK,637,1644,US,,,NaT,OK,,,READY,,,STILLWELL,NET 30,HOLMES HEATING & COOLING LLC,+19185754107,,HIGH,100,,,,EMAIL @,465907 E 855 ROAD,Troy Holmes,,,465907 E 855 RD,,HOLMES HEATING AND COOLING LLC,74960,,,,,TROY HOLMES,
Airetech,Y,72401,JONESBORO,,AR,638,1645,US,,,2026-01-09 04:41:10,AR,+18709721911,,READY,,,JONESBORO,NET 30,HOME IV SPECIALISTS,+18709721677,,HIGH,80,,,,824 COBB STREET,,Tracy Pollock,,870-972-1911,824 COBB ST,,HOME IV SPECIALISTS,72401,,,,,TRACY POLLOCK,
Airetech,Y,72918,FORT SMITH,,AR,639,1646,US,,,NaT,AR,+14796461971,,READY,,,FORT SMITH,NET 30,HOOKS & ASSOCIATES INC,+14796461915,,MEDIUM,70,,,294487-65-001,PO BOX 180038,,,,479-646-1971,PO BOX 180038,,HOOKS AND ASSOCIATES INC,72918,,,,294487-65-001,,
Airetech,Y,73010,BLANCHARD,,OK,641,1648,US,,,2026-01-09 04:41:14,OK,,,READY,,,BLANCHARD,NET 30,HOWARD CONSTRUCTION,+14054730422,,HIGH,80,,,,901 S SPRING LANE,,Jonathan Howard,,,901 S SPRING LN,,HOWARD CONSTRUCTION,73010,,,,,JONATHAN HOWARD,
Airetech,Y,72433,HOXIE,,AR,642,1649,US,,,2026-01-09 04:41:16,AR,+18708864252,,READY,,,HOXIE,NET 30,HOXIE PUBLIC SCHOOLS,+18708862401,,HIGH,80,,,,602 SW HARTIGAN,,Marsha Jones,,870-886-4252,602 SW HARTIGAN,,HOXIE PUBLIC SCHOOLS,72433,,,,,MARSHA JONES,
Airetech,Y,72758,ROGERS,N,AR,643,1650,US,,,2026-01-09 04:41:19,AR,,,READY,,,"ROGERS,",NET 30,HP ENGINEERS,+14798996370,,HIGH,80,payables@hpengineeringinc.com,,,PAYABLES@HPENGINEERINGINC.COM,5504 W PINNACLE POINTE DR,Bill Hodge,,,5504 W PINNACLE POINTE DR,,HP ENGINEERS,72758,,payables@hpengineeringinc.com,,,BILL HODGE,
Airetech,Y,71730,EL DORAOD,,AR,644,1651,US,,,NaT,AR,,,READY,,,EL DORAOD,NET 30,HUBBELL LIGHTING PRESCOLITE DIV,+18708628181,,HIGH,100,,,,216 MIMS ROAD,,Hansel Wilson,,,216 MIMS RD,,HUBBELL LIGHTING PRESCOLITE DIV,71730,,,,,HANSEL WILSON,
Airetech,Y,30339,ATLANTA,Y,GA,645,1652,US,,,2026-01-09 04:41:23,GA,+15017761366,,READY,,,"ATLANTA,",NET 30,HUBER ENGINEERED MATERIALS,+14789714200,,HIGH,80,,,,EMAIL @ SEE ATTACHMENT,"3100 CUMBERLAND BLVD, STE 600",Kira Mullins,,501-776-1366,3100 CUMBERLAND BLVD STE 600,,HUBER ENGINEERED MATERIALS,30339,,,,,KIRA MULLINS,
Airetech,Y,72076,JACKSONVILLE,,AR,693,1700,US,,,2026-01-09 04:42:46,AR,,,READY,,,JACKSONVILLE,NET 30,JAYS SERVICE COMPANY,+15018359366,,HIGH,80,,,,403 KING PLACE,,,,,403 KING PL,,JAYS SERVICE COMPANY,72076,,,,,,
Airetech,Y,72223,LITTLE ROCK,,AR,646,1653,US,,,NaT,AR,+15012194111,,READY,,,LITTLE ROCK,NET 30,HUFFMAN CONTRACTORS INC,+15017584982,,MEDIUM,70,,,,PO BOX 242840,,Brittney Bearden,,501-219-4111,PO BOX 242840,,HUFFMAN CONTRACTORS INC,72223,,,,,BRITTNEY BEARDEN,
Airetech,Y,74441,HULBERT,,OK,647,1654,US,,,NaT,OK,,,READY,,,HULBERT,NET 30,HULBERT HEAT & AIR,+19185212976,,MEDIUM,70,,,2066456576,10839 HWY 51,PO BOX 690,Jordan Bowlin,,,PO BOX 690,10839 HWY 51,HULBERT HEAT AND AIR,74441,,,,2066456576,JORDAN BOWLIN,
Airetech,Y,75501,TEXARKANA,N,TX,648,1655,US,,,NaT,TX,,,READY,,,"TEXARKANA,",NET 30,PHARMA NOBIS,+19033346200,,HIGH,100,,,,7400 ALUMAX DR,,,,,7400 ALUMAX DR,,PHARMA NOBIS,75501,,,,,,
Airetech,Y,79998-1374,EL PASO,Y,TX,649,1656,US,,,NaT,TX,,,READY,,,EL PASO,NET 30,HUSSMANN SERVICES CORPORATION,+18555539081,,MEDIUM,70,,,00277552-SLS,PO BOX 981374,,,,,PO BOX 981374,,HUSSMANN SERVICES CORPORATION,79998-1374,,,,00277552-SLS,,
Airetech,Y,,,,,650,1657,US,,,NaT,,,,REVIEW,,,,NET 30,HVAC EQUIP SALES COMMISSION,,,LOW,20,,,EXEMPT COMM,COMMISSION ONLY,,Commission Only,,,,,HVAC EQUIP SALES COMMISSION,,,,,EXEMPT COMM,COMMISSION ONLY,
Airetech,Y,74103,TULSA,,OK,651,1658,US,,,2026-01-09 04:41:29,OK,,,READY,,,TULSA,NET 30,HYATT REGENCY,+19185602268,,HIGH,80,,,,EMAIL @,100 EAST 2ND STREET,John Jennings,,,100 E 2ND ST,,HYATT REGENCY TULSA,74103,,,,,JOHN JENNINGS,
Airetech,Y,72114,NORTH LITTLE ROCK,,AR,652,1659,US,,,2026-01-09 04:41:31,AR,+15015010020,,READY,,,NORTH LITTLE  ROCK,NET 30,HYDCO INC,+15013710255,,HIGH,80,,,,208 NORTH BEECH STREET,,Betty Lou Norwood,,501-501-0020,208 N BEECH ST,,HYDCO INC,72114,,,,,BETTY LOU NORWOOD,
Airetech,Y,73105,OKLAHOMA CITY,,OK,653,1660,US,,,2026-01-09 04:41:33,OK,+14055287869,,READY,,,OKLAHOMA CITY,NET 30,HYDRONIC SYSTEMS INC,+14055287867,,HIGH,80,,,1823186944,200 NE 39TH TERRACE,,,,405-528-7869,200 NE 39TH TERRACE,,HYDRONIC SYSTEMS INC,73105,,,,1823186944,,
Airetech,Y,71635,CROSSETT,,AR,654,1661,US,,,NaT,AR,+18703644165,,READY,,,CROSSETT,NET 30,IDEAL CONSTRUCTION CO,+18703644185,,HIGH,100,,,,803 W FIRST AVENUE HWY 82,,Dennis Chapman,,870-364-4165,803 W FIRST AVE HWY 82,,IDEAL CONSTRUCTION CO,71635,,,,,DENNIS CHAPMAN,
Airetech,Y,72120,SHERWOOD,N,AR,655,1662,US,,,2026-01-09 04:41:37,AR,,,READY,,,SHERWOOD,NET 30,IHP INDUSTRIAL INC,+15018355794,,HIGH,80,ap-nlr@ihpindustrial.com,,,AP-NLR@IHPINDUSTRIAL.COM,3201 E KIEHL AVE,,,,3201 E KIEHL AVE,,IHP INDUSTRIAL INC,72120,,ap-nlr@ihpindustrial.com,,,,
Airetech,Y,74403,MUSKOGEE,,OK,656,1663,US,,,2026-01-09 04:41:39,OK,,,READY,,,MUSKOGEE,NET 30,INDIAN CAPITAL TECHNOLOGY CENTER,+19185770064,,HIGH,80,,,,2403 N 41ST STREET EAST,,Don Ballew,,,2403 N 41ST ST E,,INDIAN CAPITAL TECHNOLOGY CENTER,74403,,,,,DON BALLEW,
Airetech,Y,74011,BROKEN ARROW,,OK,657,1664,US,,,2026-01-09 04:41:41,OK,,,READY,,,BROKEN ARROW,NET 30,INDIAN SPRINGS ELECTRIC SERVICE,,,HIGH,80,,,,15225 E 129TH STREET,,,,,15225 E 129TH ST,,INDIAN SPRINGS ELECTRIC SERVICE,74011,,,,,,
Airetech,Y,74146,TULSA,,OK,658,1665,US,,,2026-01-09 04:41:43,OK,,,READY,,,TULSA,NET 30,INDUSTRIAL EQUIPMENT COMPANY,+19183923846,,HIGH,80,,,,10404 E 55TH PLACE,,Curtis Rector,,,10404 E 55TH PL,,INDUSTRIAL EQUIPMENT COMPANY,74146,,,,,CURTIS RECTOR,
Airetech,Y,71280,STERLINGTON,,LA,659,1666,US,,,2026-01-09 04:41:45,LA,+13186650487,,READY,,,STERLINGTON,NET 30,INDUSTRIAL ROOFING & CONST LLC,+13186650483,,HIGH,80,,,,1128 HWY 2,,Lendsey Anderson,,318-665-0487,1128 HWY 2,,INDUSTRIAL ROOFING AND CONST LLC,71280,,,,,LENDSEY ANDERSON,
Airetech,Y,74116,TULSA,N,OK,660,1667,US,,,NaT,OK,+19185873237,,READY,,,"TULSA,",NET 30,INDUSTRIAL STRUCTURES INC,+19185873234,,HIGH,100,lynn.wallis@isitulsa.com,,155394,LYNN.WALLIS@ISITULSA.COM,1931 N 170TH E AVE,Lynn Wallis,,918-587-3237,1931 N 170TH E AVE,,INDUSTRIAL STRUCTURES INC,74116,,lynn.wallis@isitulsa.com,,155394,LYNN WALLIS,
Airetech,Y,74429,COWETA,,OK,661,1668,US,,,NaT,OK,+19184866391,,READY,,,COWETA,NET 30,INGLE HEAT & AIR,+19184866426,,MEDIUM,70,,,,PO BOX 33,,Chuck Ingle,,918-486-6391,PO BOX 33,,INGLE HEAT AND AIR,74429,,,,,CHUCK INGLE,
Airetech,Y,74132,TULSA,,OK,662,1669,US,STE B,,2026-01-09 04:41:50,OK,,,READY,,,TULSA,NET 30,INNOVATIVE AIR PROS,,,HIGH,80,,,,8448 S PEORIA,SUITE B,Cody Dampf,,,8448 S PEORIA,,INNOVATIVE AIR PROS,74132,,,,,CODY DAMPF,
Airetech,Y,72117,NORTH LITTLE ROCK,,AR,663,1670,US,,,2026-01-09 04:41:52,AR,,,READY,,,NORTH LITTLE ROCK,NET 30,INNOVATIVE POWER SOLUTIONS,+15014928332,,HIGH,80,,,,4101 RICHARDS ROAD,,Lynn Russell,,,4101 RICHARDS RD,,INNOVATIVE POWER SOLUTIONS,72117,,,,,LYNN RUSSELL,
Airetech,Y,72756,ROGERS,,AR,664,1671,US,,,2026-01-09 04:41:55,AR,,,READY,,,ROGERS,NET 30,INSITE CONSTRUCTION INC,+14793724718,,HIGH,80,,,,214 S 2ND STREET,,Edward Brya,,,214 S 2ND ST,,INSITE CONSTRUCTION INC,72756,,,,,EDWARD BRYA,
Airetech,Y,71902,HOT SPRINGS,,AR,665,1672,US,,,NaT,AR,+15012624847,,READY,,,HOT SPRINGS,NET 30,INSTRUMENT & SUPPLY INC,+15013215533,,MEDIUM,70,,,02966-26-001,PO BOX 1679,,Kirby Habighorst,,501-262-4847,PO BOX 1679,,INSTRUMENT AND SUPPLY INC,71902,,,,02966-26-001,KIRBY HABIGHORST,
Airetech,Y,74344,GROVE,,OK,666,1673,US,,,2026-01-09 04:41:57,OK,,,READY,,,GROVE,NET 30,INTEGRIS GROVE HOSPITAL,+19189617825,,HIGH,80,,,,1001 E 18TH STREET,,Brian Estep,,,1001 E 18TH ST,,INTEGRIS GROVE HOSPITAL,74344,,,,,BRIAN ESTEP,
Airetech,Y,74145,TULSA,,OK,667,1674,US,,,NaT,OK,,,READY,,,TULSA,NET 30,INTEGRITEEX SCREEN WORKS,,,HIGH,100,,,,6580 E S KELLY DRIVE,,,,,6580 E S KELLY DR,,INTEGRITEEX SCREEN WORKS,74145,,,,,,
Airetech,Y,72176,WARD,,AR,668,1675,US,,,NaT,AR,,,READY,,,WARD,NET 30,INTEK CONSTRUCTION CORP,+15019160027,,HIGH,100,,,,9442 HWY 38,,,,,9442 HWY 38,,INTEK CONSTRUCTION CORP,72176,,,,,,
Airetech,Y,73128,OKLAHOMA CITY,,OK,669,1676,US,,,NaT,OK,,,READY,,,OKLAHOMA CITY,NET 30,INTERNATIONAL ENVIRON COMMISSION,+14056055035,,HIGH,100,,,EXEMPT COMM,5000 W I-40 SERVICE,,,,,5000 W I-40 SERVICE,,INTERNATIONAL ENVIRON COMMISSION,73128,,,,EXEMPT COMM,,
Airetech,Y,97228-5383,PORTLAND,N,OR,670,1677,US,,,NaT,OR,,,READY,,,PORTLAND,NET 30,INTERNATIONAL PAPER,,,MEDIUM,70,apinvoices@ipaper.com,,STS-10012791-,APINVOICES@IPAPER.COM,PO BOX 5383,,,,PO BOX 5383,,INTERNATIONAL PAPER,97228-5383,,apinvoices@ipaper.com,,STS-10012791-,,
Airetech,Y,45150,MILFORD,,OH,671,1678,US,SHARED SERVICES,,NaT,OH,,,READY,,,MILFORD,NET 30,INTERNATIONAL PAPER VALLIANT,+18774472737,,MEDIUM,70,,,,PO BOX 813,SHARED SERVICES,Robin Abbott,,,PO BOX 813,,INTERNATIONAL PAPER VALLIANT,45150,,,,,ROBIN ABBOTT,
Airetech,Y,74117,TULSA,,OK,672,1679,US,,,2026-01-09 04:42:06,OK,,,READY,,,TULSA,NET 30,ISS FACILITY SERVICES,+19182747744,,HIGH,80,,,,7572 N LAKEWOOD AVENUE,,,,,7572 N LAKEWOOD AVE,,ISS FACILITY SERVICES,74117,,,,,,
Airetech,Y,54942,GREENVILLE,N,WI,673,1680,US,,,NaT,WI,,,READY,,,GREENVILLE,NET 30,IVI NORTH INC,+19186821172,,HIGH,100,,,858508,W 6395 SPECIALTY DR,,Angela Wilhite,,,W 6395 SPECIALTY DR,,IVI NORTH INC,54942,,,,858508,ANGELA WILHITE,
Airetech,Y,72764,SPRINGDALE,,AR,674,1681,US,,,2026-01-09 04:42:11,AR,,,READY,,,SPRINGDALE,NET 30,J & B SUPPLY CO,+14796494915,,HIGH,80,,,038657-78-001,788 W MORRIS AVENUE,,Warren Thompson,,,788 W MORRIS AVE,,J AND B SUPPLY CO SPRINGDALE,72764,,,,038657-78-001,WARREN THOMPSON,
Airetech,Y,72917,FORT SMITH,,AR,675,1682,US,,,NaT,AR,+15016494911,,READY,,,FORT SMITH,NET 30,J & B SUPPLY CO,+14796494915,,HIGH,100,,,038657-78-001,4915 SOUTH ZERO,,,,501-649-4911,4915 S ZERO,,J AND B SUPPLY FT SMITH,72917,,,,038657-78-001,,
Airetech,Y,72117,SHERWOOD,,AR,676,1683,US,,,2026-01-09 04:42:15,AR,,,READY,,,SHERWOOD,NET 30,J & B SUPPLY CO,+14796494915,,HIGH,80,,,038657-78-001,7430 LANDERS ROAD,,Jimmy Greenhaw,,,7430 LANDERS RD,,J AND B SUPPLY SHERWOOD,72117,,,,038657-78-001,JIMMY GREENHAW,
Airetech,Y,74066,SAPULPA,,OK,677,1684,US,,,NaT,OK,+19182277216,,READY,,,SAPULPA,NET 30,J & G STEEL CORPORATION,+19182273131,,MEDIUM,70,,,STS-10089536-,PO BOX 1208,,Michelle Mauldin,,918-227-7216,PO BOX 1208,,J AND G STEEL CORPORATION,74066,,,,STS-10089536-,MICHELLE MAULDIN,
Airetech,Y,72901,FORT SMITH,,AR,678,1685,US,,,2026-01-09 04:42:17,AR,+14796484055,,READY,,,FORT SMITH,NET 30,J & K HEATING & AIR VENTILATION,+14796483219,,HIGH,80,chrisw@theoneair.net,,017078-65-001,EMAIL: CHRISW@THEONEAIR.NET,5517 WHEELER AVENUE,Chris Whitney,,479-648-4055,5517 WHEELER AVE,,J AND K HEATING AND AIR VENTILATION,72901,,chrisw@theoneair.net,,017078-65-001,CHRIS WHITNEY,
Airetech,Y,72209,LITTLE ROCK,N,AR,679,1686,US,,,2026-01-09 04:42:19,AR,+15015621152,,READY,,,"LITTLE ROCK,",NET 30,JACK TYLER ENGINEERING INC,+15015624273,,HIGH,80,accounting@jteng.com,,00219924-SLS,ACCOUNTING@JTENG.COM,6301  S UNIVERSITY AVE,Charlotte Gilbert,,501-562-1152,6301 S UNIVERSITY AVE,,JACK TYLER ENGINEERING INC,72209,,accounting@jteng.com,,00219924-SLS,CHARLOTTE GILBERT,
Airetech,Y,72078,JACKSONVILLE,,AR,680,1687,US,,,NaT,AR,+15019829928,,READY,,,JACKSONVILLE,NET 30,JACKSONVILLE HEATING & AIR,+15019827217,,MEDIUM,70,,,,PO BOX 186,,Jason Hunter,,501-982-9928,PO BOX 186,,JACKSONVILLE HEATING AND AIR,72078,,,,,JASON HUNTER,
Airetech,Y,72202,LITTLE ROCK,N,AR,681,1688,US,,,2026-01-09 04:42:21,AR,+15018214919,,READY,,,LITTLE ROCK,NET 30,JACO SALES,+15018213900,,HIGH,80,office@jacosales.com,,00036293-SLS,OFFICE@JACOSALES.COM,401 COLLINS STREET,,,5018214919,401 COLLINS ST,,JACO SALES,72202,,office@jacosales.com,,00036293-SLS,,
Airetech,Y,,,,,682,1689,US,,,NaT,,,,REVIEW,,,,NET 30,JACOB HILL,,,LOW,20,,,,,,Jacob Hill,,,,,JACOB HILL,,,,,,JACOB HILL,
Airetech,Y,72701,FAYETTEVILLE,,AR,683,1690,US,,,2026-01-09 04:42:25,AR,,,READY,,,FAYETTEVILLE,NET 30,JACOBS ENGINEERING GROUP INC,+14794433292,,HIGH,80,,,,1400 N FOX HUNTER ROAD,,Troy Ashby,,,1400 N FOX HUNTER RD,,JACOBS ENGINEERING GROUP INC,72701,,,,,TROY ASHBY,
